Move,Freq,AC,Type,Roll,Dmg. Type,Range,Special Effect
Power-Up Punch,EOT,3,Fighting,1d8+8 ,Phys,"Melee, 1 Target, Full Action, Punch","The user gains +1 CS in Attack. Spirit Surge"
Pressure Point,EOT,3,Fighting,2d8+10 ,Spec,"Melee, 1 Target","On a roll of 17+, the Target becomes Weakened until the end of their next Turn. A Combatant can only be Weakened this way once per Scene."
Quick Guard,Scene x2,/,Fighting,,Status,"Self, Shield, Trigger","If an adjacent ally is hit by a 1-Target Attack, Quick Guard may be declared as a Swift Action + Reaction, causing the triggering attack to hit you instead. You may use your Speed Stat instead of the relevant Defense Stat when calculating damage."
Raging Bull,EOT,5,Fighting,2d10+10 ,Phys,"Melee, Pass or all Adjacent Enemies","The Target cannot use Attacks with the Shield Keyword as a response to this Attack. If the user is Enraged, Raging Bull has the Smite Keyword."
Revenge,EOT,4,Fighting,2d6+8 ,Phys,"Melee, 1 Target","If the Target hit the user with an Attack since the user's last turn, Revenge instead has a Damage Base of 12."
Reversal,EOT,3,Fighting,2d6+10 ,Phys,"Melee, 1 Target","If the user has less than 50% of their Maximum Hit Points, Reversal has the Sureshot Keyword and is a Critical Hit on a roll of 17+. "
Rock Smash,At-Will,2,Fighting,1d8+6 ,Phys,"Melee, 1 Target","On a roll of 15+ the Target loses -1 CS in Defense. If the Target’s highest stat is Defense, they instead lose -2 CS in Defense. "
Rolling Kick,At-Will,2,Fighting,2d6+8 ,Phys,"Melee, 1 Target, Dash","If the Dash Keyword is Activated, this has the Smite Keyword and ignores Physical Evasion."
Sacred Sword,EOT,/,Fighting,2d8+10 ,Phys,"Melee, 1 Target","Sureshot."
Seismic Toss,Scene x2,3,Fighting,,Status,"Melee, 1 Target, Versatile","The Target becomes Tripped. For each Size Category you are larger than the Target, add +2 to the Slide Keyword. Slide 4 (Away)"
Sky Uppercut,EOT,3,Fighting,2d10+10 ,Phys,"Melee, 1 Target, Punch","Sky Uppercut has the Sureshot Keyword against any Target with the Flier Capability."
Storm Throw,EOT,5,Fighting,2d6+8 ,Phys,"Melee, 1 Target","If Storm Throw hits, it is a Critical Hit. Smite"
Submission,EOT,4,Fighting,2d8+10 ,Phys,"Melee, 1 Target, Recoil 1/3","If Submission hits a Target smaller than the user, they may initiate a Grapple Maneuver against the Target as a Free Action."
Superpower,Scene x2,3,Fighting,4d10+10 ,Phys,"Melee, 1 Target, Reckless","After Damage Calculations, lower the Offensive Stat used for this Attack by -2 CS. Smite"
Triple Arrow,Scene x2,7,Fighting,1d8+6 ,Phys,"4, 1 Target; or 6, 2 Targets; or 8, 3 Targets","On a roll of 15+, the Target(s) lose -1 CS in Defense.If Triple Arrow has 1 Target, it has the Five Strike Keyword. If it has 2 Targets, it has the Double Strike and Full Action Keyword. If it has 3 Targets, it has the Full Action Keyword."
Triple Kick,EOT,5,Fighting,2d6+8 ,Phys,"Melee, 1 Target","After attacking with Triple Kick, hit or miss, the user may Disengage 2m and attack a different Target with Triple Kick. This effect may be repeated a second time, Targeting a combatant that has not been Targeted by either prior attack. Before making each attack roll, the user may choose to not trigger all remaining additional shifts and attacks. Triple Kick gains +1 Accuracy and +1 DB for each Attack that is given up. Triple Kick always benefits from the Technician Ability."
Vacuum Wave,At-Will,3,Fighting,1d8+6 ,Spec,"4, 1 Target, Priority, Aura","--"
Victory Dance,Scene,/,Fighting,,Status,"Self, Trigger","Upon an Enemy fainting, Victory Dance may be used as a Standard Action + Reaction. The user gains a Victory Coat and +1 CS in a Stat of their choice. The user may expend a Victory Coat when successfully hitting a Fighting Damaging Attack to add its Damage Dice an extra time to the Damage Roll. This applies after any other Damage Base Modifiers such as a Critical Hit. 
Note: If the Damage Base would have the Attack be 2d6+8, this expended Coat turns it into 4d6+16."
Vital Throw,EOT,/,Fighting,2d6+10 ,Phys,"Melee, 1 Target, Trigger","Vital Throw can only be used as a Standard Action + Reaction when the user is hit with a Melee Attack. This resolves after the Triggering Attack. Slide 2 (Away), Sureshot."
Wake-Up Slap,At-Will,3,Fighting,2d6+8 ,Phys,"Melee, 1 Target","If the Target is Drowsy, the Damage Base for this Attack becomes 12, then it becomes a Critical Hit. After Damage Calculations the Target is cured of the Drowsy Affliction."
Armor Cannon,Scene x2,5,Fire,3d12+10 ,Spec,"8, 1 Target","On a roll of 18+, the Target becomes Burned. If the Target has no Adjacent Allies, this Effect Range is extended by +2"
Bitter Blade,Scene x2,6,Fire,2d10+10 ,Phys,"Melee, Pass ","This has the Drain Keyword against Targets who are Suppressed or Cursed. Smite"
Blast Burn,Scene,8,Fire,4d10+20 ,Spec,"Close Blast 3, Full Action ","All Targets hit by Blast Burn become Burned. Blast Burn created Fire Hazards in all Spaces within the Range of this Attack. Smite, Spirit Surge

Fire Hazards - Any Combatant who ends their turn on or moves through a Fire Hazard becomes Burned. Ground and Rock Type Pokemon  are immune to Fire Hazards and destroy them when Moving through them. Ground, Rock, and Water Type Attacks that affect these Spaces also destroy these Hazards. "
Blaze Kick,EOT,3,Fire,2d10+10 ,Phys,"Melee, 1 Target, Dash","Blaze Kick is a Critical Hit on a roll of 18+. If the Dash Keyword is Activated, the Target is Burned."
Blazing Sun,Scene x2,/,Fire,,Status,"Field, Versatile, Weather","The Field becomes Blazing for the next 5 Rounds. While the Field is Blazing, non Fire Type Enemies lose a Tick of Hit Points at the start of their Turn and Fire Type Pokemon gain a Tick of Temporary Hit Points at the start of their Turn. While the Field is Blazing, the Weather becomes Sunny."
Burning Jealousy,Scene x2,6,Fire,2d8+10 ,Spec,"Burst 1","If a Target of this Attack had their Combat Stages raised since the user's last turn, they become Burned. Spirit Surge."
Burn Up,Scene x2,7,Fire,4d10+10 ,Spec,"Burst 1, Full Action ","Until the end of the encounter, the user loses its Fire Type (Pure Fire Types become Normal Type). The user may cure themselves of the Burned Affliction and if they do, Burn Up is a Critical Hit and the user regains its Fire Type. Smite. Spirit Surge."
Cleansing Flames,Scene x2,5,Fire,2d6+10 ,Spec,"6, Ranged Blast 2","All Targets have all Physical Afflictions removed except for Burn. Any Targets that have an Affliction removed this way take one step more damage from Cleansing Flames. Allies within the range of Cleansing Flames take no damage from this Attack. "
Ember,At-Will,3,Fire,1d8+6 ,Spec,"4, 1 Target or Close Blast 2","On a roll of 18+, the Target becomes Burned. If this is used with the Close Blast Range, the AC is increased by +2."
Eruption,Scene,5,Fire,2d8+10 ,Spec,"10, Ranged Blast 3, Set-Up","Charge Effect: While the user has Eruption Charge Tokens, Combatants Adjacent to the user are Burned whenever the user is hit by an Attack.
Resolution Effect: All Targets become Burned on an 18+. For each Charge Token expended, increase the DB by +2 and this Effect Range by +1. Smite"
Explosive Punch,Scene,6,Fire,3d12+10 ,Phys,"Melee, 1 Target, Punch, Recoil 1/3","Explosive Punch is a Critical Hit on a roll of 17+. Explosive Punch also Targets all Enemies that are Adjacent to the Target. Smite"
Fiery Dance,Scene x2,7,Fire,2d6+10 ,Spec,"3, 3 Targets, Full Action + Movement Action","On a roll of 17+, the Target becomes Burned. If you only choose two Targets, all hit Targets become Burned. If you only choose one, all Targets become Burned and this has the Sureshot Keyword."
Fire Blast,Scene x2,6,Fire,3d10+10 ,Spec,"6, 1 Target; or Close Blast 2, Full Action","On a roll of 17+, the Target becomes Burned. If the Weather is Sunny, Targets cannot apply Special Defense Evasion against this Attack. Smite"
Fire Claw,At-Will,4,Fire,1d8+6 ,Phys,"Melee, Pass","On a roll of 17+, the Target becomes Burned.  "
Fire Fang,At-Will,2,Fire,2d6+10 ,Phys,"Melee, 1 Target, Bite","On a roll of 17+, Roll a 1d2. On a 1, the Target becomes Burned. On a 2, the Target becomes Wounded."
Fire Lash,EOT,3,Fire,2d8+10 ,Phys,"2, 1 Target","The Target loses -1 CS in Defense. If the Target is Burned or the Weather is Sunny, they instead lose -2 CS in Defense."
Fire Pledge,Scene x2,4,Fire,2d8+10 ,Spec,"6, 1 Target","If an Ally has used a Fire Type Attack since your last turn, this Attack can instead used as a 6, Ranged Blast 3, Full Action, Smite Range, burns on a roll of 15+ and creates Fire Hazards in all Spaces within the Range of this Attack.

Fire Hazards - Any Combatant who ends their turn on or moves through a Fire Hazard becomes Burned. Ground and Rock Type Pokemon  are immune to Fire Hazards and destroy them when Moving through them. Ground, Rock, and Water Type Attacks that affect these Spaces also destroy these Hazards."
Fire Punch,At-Will,3,Fire,2d8+10 ,Phys,"Melee, 1 Target, Punch","On a roll of 17+, the Target becomes Burned.  "
Fire Spin,Scene x2,5,Fire,2d6+8 ,Spec,"4, Ranged Blast 2","After this Attack resolves, create a Zone within the Range of the Attack. If any Combatant enters the Zone or leaves the Zone, they become Burned. Unless the Weather is Sunny, this Zone lasts until you use a Reaction, use an Attack or Faint. Spirit Surge"
Firestorm,Scene x2,6,Fire,3d10+10 ,Phys,"8, Ranged Blast 3, Full Action","On a roll of 16+, all Targets become Burned. If the Weather is Sunny this has the Smite Keyword. If a Target is Burned, they cannot apply Evasion against this Attack. "
Fire Wall,Scene x2,/,Fire,,Status,"6, Hazard, Versatile","Choose 8 Spaces within the Range of this Attack to create Fire Hazards in, such that all 8 Spaces are Adjacent to at least one other Fire Hazard.

Fire Hazards - Any Combatant who ends their turn on or moves through a Fire Hazard becomes Burned. Ground and Rock Type Pokemon  are immune to Fire Hazards and destroy them when Moving through them. Ground, Rock, and Water Type Attacks that affect these Spaces also destroy these Hazards."
Flame Barrage,Scene x2,6,Fire,2d6+8 ,Spec,"8, 1 Target; or 8, 2 Targets","On a roll of 17+, all Targets become Burned. If Flame Barrage has 1 Target, it has the Double Strike Keyword. Smite"
Flame Burst,EOT,4,Fire,2d6+10 ,Spec,"6, 1 Target; or Burst 1, Full Action","You may originate this Attack from a Burned Combatant within 5m instead of the user. If Flame Burst is performed this way, all Targets are considered Vulnerable against it. "
Flame Charge,At-Will,2,Fire,1d8+8 ,Phys,"Melee, 1 Target, Dash","On a roll of 17+, the Target becomes Burned. If the Dash Keyword is Activated, this Effect Range automatically triggers."
Flame Rush,At-Will,2,Fire,2d10+10 ,Phys,"Melee, 1 Target, Dash, Recoil 1/3","Flame Rush Burns the Target on a roll of 18+. If the Dash Keyword is Activated, the Recoil Keyword is ignored."
Flame Wheel,At-Will,2,Fire,2d6+8 ,Phys,"Melee, 1 Target, Dash","On a roll of 17+, the Target becomes Burned. If the Dash Keyword is Activated, Flame Wheel has the Pass Keyword."
Flamethrower,EOT,5,Fire,2d10+10 ,Spec,"6, 1 Target or Line 3, Full Action","On a roll of 18+, the Target becomes Burned. If this Attack only has one Target, this has the Smite Keyword."
Flaming Dash,EOT,3,Fire,2d8+10 ,Phys,"Melee, 1 Target, Dash","If the Dash Keyword is Activated, all spaces the user moves through have Fire Hazards created on them.

Fire Hazards - Any Combatant who ends their turn on or moves through a Fire Hazard becomes Burned. Ground and Rock Type Pokemon  are immune to Fire Hazards and destroy them when Moving through them. Ground, Rock, and Water Type Attacks that affect these Spaces also destroy these Hazards. "
Flare Blitz,Scene x2,3,Fire,3d12+10 ,Phys,"Melee, 1 Target, Dash, Reckless, Recoil 1/3","Flare Blitz Burns the Target on a roll of 17+. If the Dash Keyword is Activated, both the user and the Target become Burned on a hit. This bypasses Fire Type Immunity to the Burned Affliction."
Heat Crash,EOT,3,Fire,1d8+6 ,Phys,"Melee, 1 Target, Dash","For each Weight Class the user is above the Target, increase Heat Crash’s Damage Base by +2, or +3 if the Dash Keyword was Activated. "
Heat Wave,Scene x2,7,Fire,3d8+10 ,Spec,"Close Blast 3 or Burst 1; Full Action","On a roll of 18+, all Targets become Burned. If the Weather is Sunny, this Effect Range automatically triggers. Smite"
Heat Veil,Scene x2,/,Fire,,Status,"4, 1 Target or Self; Coat, Versatile","The Target gains a Heated Coat. While affected by a Heated Coat, the Combatant treats Water and Ice Type Attacks as if they were resisted, ignoring their Type Effectiveness. In addition, while affected by a Heated Coat, the Weather is considered to be Sunny for any of their Attacks, Features or Abilities that would Reference it. After the user is hit by a Water or Ice Type Attack, this Coat is expended."
Hellfire,Scene x2,6,Fire,3d8+10 ,Spec,"8, 1 Target ","When this Attack hits, Hellfire burns the Target. On a miss, the Target is Suppressed. Hellfire may be used as a Full Action to be treated as if it were a Dark Type Attack. Spirit Surge."
Ignition,Scene x2,3,Fire,2d8+10 ,Spec,"6, 1 Target","If a Target hit by this Attack is Burned, you may cure them of the Affliction. If they are cured this way, they lose three Ticks of Hit Points."
Incinerate,At-Will,5,Fire,1d8+8 ,Spec,"Line 3","On a Roll of 17+ or if the Target is Burned, you may destroy a Coat they're affected by."
Inferno,At-Will,5,Fire,3d8+10 ,Spec,"10, 1 Target","Inferno Burns the Target. Inferno treats the Target as Vulnerable if there are no Combatants or Blocking Terrain adjacent to them or if the Weather is Sunny."
Kindle,EOT,/,Fire,,Status,"Self, Versatile","The user gains a Kindled Coat. The user may expend a Kindled Coat when successfully hitting an Fire Damaging Attack to add its Damage Dice an extra time to the Damage Roll. This applies after any other Damage Base Modifiers such as a Critical Hit. 
Note: If the Damage Base would have the Attack be 2d6+8, this expended Coat turns it into 4d6+16. "
Lava Armor,Scene,/,Fire,,Status,"Self, Coat, Versatile","The user gains a Molten Coat. While the user is affected by a Molten Coat, whenever a Melee Attack hits them, the Attacker become Burned. The Molten Coat can be expended as a Reaction to resist a Physical Attack by an additional Damage step. It also can be expended when the user hits a Physical Fire Type Attack to cause all Targets to become Burned. "
Lava Plume,EOT,6,Fire,2d8+10 ,Spec,"Burst 1 ","On a roll of 18+, all Targets become Burned. This Attack may also be used as a Full Action to treat its Range as Burst 2. Smite"
Mind Blown,Scene,8,Fire,4d10+20 ,Spec,"6, Ranged Blast 5, Full Action","The Target in the center of Mind Blown's Range resists this Attack one less Step. The user loses a Tick of Hit Points per Target hit by this Attack. Smite"
Molten Rupture,EOT,6,Fire,2d8+10 ,Phys,"4, Ranged Blast 2, Groundsource","Molten Rupture may be used as a Full Action to treat it as if it were Ground Type instead. "
Mystical Fire,EOT,5,Fire,2d8+10 ,Spec,"6, 1 Target","If the Target is suffering from a Mental Affliction, they become Burned. "
Overheat,Scene,6,Fire,4d10+10 ,Spec,"Close Blast 3, Full Action, Reckless","After Damage Calculations, lower the Offensive Stat used for this Attack by -2 CS. Smite"
Pyro Ball,Scene x2,4,Fire,3d8+10 ,Phys,"5, 1 Target","If the user has at least +3 CS in Speed, this has the Sureshot Keyword. The user may perform this Attack as a Standard + Movement Action to cause the Target to become Burned on a hit. Smite"
Raging Fire,EOT,6,Fire,2d8+10 ,Phys,"6, Ranged Blast 2","If the user is Enraged this is changed to 8, Ranged Blast 3, Full Action and Targets cannot apply Physical Evasion  against this Attack."
Shell Trap,Scene,4,Fire,4d10+10 ,Spec,"Melee, 1 Target, Trigger","Shell Trap can only be used as a Standard Action + Reaction when the user is hit by an Adjacent Enemy and it must only Target them. Shell Trap is a Critical Hit on a 17+. Smite."
Sunny Day,Scene x2,/,Fire,,Status,"Blessing, Versatile, Weather","Blessing - Any user affected by Sunny Day may activate it as a Free Action when using a Fire Type Damaging Attack to grant it the Smite Keyword. If the Attack hits, it hits, it is also increased by one damage step. (Max 1.5x Effectiveness). Sunny Day may be Activated 3 times and then disappears. While this Blessing persists, the Weather becomes Sunny."
Temper Flare,EOT,4,Fire,2d8+10 ,Phys,"Melee, 1 Target","If the user's last Attack missed or they are Enraged, Temper Flare is DB 13 instead."
Torch Song,Scene x2,6,Fire,2d6+8 ,Spec,"Close Blast 2, Sonic","The user's Special Attack is raise by +1 CS on a Miss or 16+. Spirit Surge."
Twin Flames,EOT,6,Fire,1d8+8 ,Spec,"6, 2 Targets","Twin Flames Burns all Targets on a roll of 18+"
Wildfire,EOT,5,Fire,,Status,"Close Blast 3, Versatile","All Targets become Burned. All Targets that were already Burned lose two Ticks of Hit Points and cannot cure Burn during their next Save Check. Any Fire Typed Allies within the Range of this Attack instead gain 2 Ticks of Temporary Hit Points."
Will-O-Wisp,EOT,3,Fire,,Status,"6, 1 Target, Versatile","The Target becomes Burned. If the Target is already Burned, they become Cursed or Suppressed instead. "
Acrobatics,EOT,3,Flying,2d6+8 ,Phys,"Melee, Dash, 1 Target","At the start of your Turn you may declare the usage of Acrobatics. During this Turn you do not Provoke Attacks of Opportunity. You must then use this Attack while activating the Dash Keyword. if you do so, the Damage Base becomes 10 instead. "
Aerial Ace,EOT,/,Flying,2d6+8 ,Phys,"Melee, 1 Target, Dash","If the Dash Keyword is Activated, Aerial Ace is a Critical hit on a roll of 18+. Sureshot."
Aerial Combat,Scene x2,4,Flying,3d12+10 ,Phys,"Melee, 1 Target","If the Target has the Flier Capability or the Weather is Windy, they cannot apply Evasion against this Attack. "
Air Cutter,At-Will,5,Flying,1d8+8 ,Spec,"Close Blast 2","Air Cutter is a Critical Hit on a roll of 18+ or 16+ if the Weather is Windy."
Air Slash,EOT,4,Flying,2d8+10 ,Spec,"6, 1 Target","On a roll of 17+, the Target becomes Wounded. If the Weather is Windy, the Target cannot apply Speed Evasion  against Air Slash."
Beak Blast,Scene x2,6,Flying,3d8+10 ,Phys,"Close Blast 2, Full Action, Priority","Beak Blast must be declared at the start of the round as a Priority Action. If the user is hit by a Melee attack this round, the triggering attacker is Burned. At the end of the round, the user may use a Movement Action, then attacks with Beak Blast."
Bounce,EOT,3,Flying,2d8+10 ,Phys,"Melee, 1 Target","The user may declare the usage of Bounce at the start of their Turn and must use this Attack after their Movement Action is used. When Moving this turn, they use the Jump Capability as a Free Action, going up to 4m in the air and ignoring Attacks of Opportunity. "
Brave Bird,Scene x2,3,Flying,3d12+10 ,Phys,"Melee, 1 Target, Dash, Recoil 1/3","If the Dash Keyword is Activated, Brave Bird has Sureshot against Targets with lower Speed than them. "
Chatter,EOT,4,Flying,2d6+10 ,Spec,"4, 1 Target, Sonic","On a roll of 16+, the Target becomes Enraged. "
Concussive Burst,EOT,4,Flying,2d6+8 ,Spec,"4, 1 Target","Targets hit by this Attack Slide up to X Meters (Away), where X is 6 minus their Weight Class."
Cyclone,EOT,6,Flying,2d8+10 ,Spec,"6, Ranged Blast 3, Full Action","If the Weather is Windy, this has the Smite Keyword. After this Attack’s Resolution, you may choose to destroy all Hazards within this Range or Slide them up to 3m. Spirit Surge. "
Defog,Scene x2,/,Flying,,Status,"Field, Versatile","You may Destroy/Remove any amount of the following:
» Weather on the Field
» Blessings on the Field
» Coats on the Field
» Hazards on the Field "
Drill Peck,At-Will,3,Flying,2d8+10 ,Phys,"Melee, 1 Target","On a roll of 17+, the Target becomes Wounded."
Dual Wingbeat,EOT,4,Flying,1d8+6 ,Phys,"4, 1 Target","Double Strike."
Feather Dance,EOT,4,Flying,,Status,"Burst 1, Versatile","All Enemies have their Attack lowered by -3 CS and have all Coats removed. You may choose to remove any Coats affecting Allies within this range as well. "
Feather Storm,Scene x2,5,Flying,3d8+10 ,Spec,"8, Ranged Blast 2, Full Action","If the Weather is Windy, you may also use this Attack as if it’s Range was 6, 3 Targets, Full Action."
Gale Force,EOT,3,Flying,2d6+8 ,Spec,"6, 1 Target","The Target is Tripped on a roll of 16+. If the Weather is Windy, this Effect Range automatically Triggers if they fail a CR 4 Acrobatics Check. Slide 4 (Away)."
Gust,At-Will,3,Flying,1d8+6 ,Spec,"4, 1 Target","If the Weather is Windy, this Attack may be used as if it were 4, Ranged Blast 2."
Heavy Winds,Scene x2,/,Flying,,Status,"Blessing, Versatile, Weather","Blessing - Any user affected by Heavy Winds may activate it as a Free Action when using a Flying Type Damaging Attack to grant it the Smite Keyword. If the Attack hits, it hits, it is also increased by one damage step. (Max 1.5x Effectiveness). Heavy Winds may be Activated 3 times and then disappears. While this Blessing persists, the Weather becomes Windy."
Hurricane,Scene x2,5,Flying,3d12+10 ,Spec,"6, 1 Target","After this Attack’s Resolution, You may Slide any number of Targets or Hazards within this Range or Adjacent to Targets up to 3m. If the Weather is Windy, the Range may be used as if it were 6, Ranged Blast 3. Spirit Surge. Smite"
Mach Speed,EOT,3,Flying,2d8+10 ,Phys,"Melee, 1 Target, Dash, Priority","If the Weather is Windy or the Dash Keyword is Activated, the Target cannot apply Speed Evasion against this Attack."
Molt Feathers,Scene ,/,Flying,,Status,"Self, Movement Action","The user may cure as many Physical Afflictions as they wish that affect them, then they become Vulnerable until the end of the next Round."
Mirror Move,Scene x2,/,Flying,,Spec,"6, 1 Target","Use the Attack the Target has used on their last turn. You may choose new Targets for the Attack. The Attack may deal Damage as if it were Physical or Special. Sureshot"
Peck,At-Will,2,Flying,1d8+6 ,Phys,"Melee, 1 Target","On a roll of 16+, the Target becomes Wounded."
Pluck,At-Will,3,Flying,2d6+8 ,Phys,"Melee, 1 Target","The user may perform a Disarm Manuever as a Free Action against the Target. If used this way, Disarm automatically hits."
Quick Strike,EOT,3,Flying,2d6+10 ,Phys,"Melee, 1 Target, Dash","After damage Calculations the user may disengage as a Free Action. If you activate the Dash Keyword or attack a Flanked Target, this Attack has the Sureshot Keyword."
Raven Claw,Scene x2,3,Flying,2d10+10 ,Phys,"Melee, 1 Target","Raven Claw is a Critical Hit on a roll of 18+. If the Target has any Mental Afflictions, this Crit Range is extended by +1 per Mental Affliction they have."
Razor Wind,Scene x2,7,Flying,2d8+10 ,Spec,"10, X Targets, Set-Up","Charge Effect: You instead gain 2 Charge Tokens if the Weather is Windy. If you have at least 3 Charge Tokens, you treat the Weather as if it were Windy for any other Attack or Ability.
Resolution Effect: X is equal to 1+ the number of Charge Tokens expended. Smite"
Roost,Scene x3,/,Flying,,Status,"Self, Versatile","The user restores 5 Ticks of Hit points. The user loses the Flier Capability and Ground Immunity (Treated as Neutral) until the end of the next Round if they have it."
Sky Attack,Scene x2,4,Flying,3d8+10 ,Phys,"Melee, Pass, Set-Up","Charge Effect: The user flies up, leaving the Field and becoming Untargetable. When the User starts their turn with Sky Attack Charge Tokens, they immediately use Sky Attack’s Resolution Effect as a Standard Action. If the User is unable to do so they lose all Sky Attack Charge Tokens, reappear anywhere on the Field, and lose Untargetable.
Resolution Effect: The user reappears anywhere on the Field. The user may then activate Sky Attack’s Pass keyword, ignoring the usual requirements, then use Sky Attack. Sureshot."
Sky Bomb,Scene x2,6,Flying,3d8+10 ,Phys,"Burst 2, Set-Up","Charge Effect: The user flies up, leaving the Field and becoming Untargetable. When the User starts their turn with Sky Bomb Charge Tokens, they immediately use Sky Bomb’s Resolution Effect as a Standard Action. If the User is unable to do so they lose all Sky Bomb Charge Tokens, reappear anywhere on the Field, and lose Untargetable. 
Resolution Effect: The user reappears anywhere on the Field and uses Sky Bomb. The user then loses Untargetable. Smite."
Sky Drop,Scene x2,3,Flying,2d6+8 ,Phys,"Special, Set-Up","Charge Effect: This Effect can only be used if you have Dominance in a Grapple with an Enemy. You and the Grappled Enemy ascend 20m into the air to a limit of 100m. While you have Charge Tokens for this Attack, members of the Grapple cannot Target Combatants outside the Grapple or take an Action that would end the Grapple. If you start two consecutive Turns at the same height, the Grappler with Dominance uses the Resolution Effect as a Free Action on the other Grappler using both Grapplers’ combined Sky Drop Charge Tokens, regardless of whether it’s on their Move List.

Resolution Effect: The user reappears anywhere on the Field, placing their Target in an adjacent space before using Sky Drop on them. X is equal to triple the number of Charge Tokens expended. If at least 5 Charge Tokens were expended, this Attack instead sets the Target’s HP to 0. Sureshot, Unstoppable."
Tailwind,Scene x2,/,Flying,,Status,"3, 1 Target or Self; Coat, Versatile","The Target gains a Tailwind Coat. Combatants affected by a Tailwind Coat cannot be Slowed and have bonus Evasion equal to double their Tier Level. A Tailwind Coat can be expended as a Reaction to use an Attack as if it had the Priority Keyword or cause a Ranged Attack to miss them."
Tempest,Scene x2,/,Flying,,Status,"6, Ranged Blast 3, Versatile","Tempest Hazards are created in the Range of this Attack. Whenever the user moves from their current space, the Hazards are removed. 

Tempest Hazards - When Tempest Hazards are created, note where the Attacker is on the Field, which is the direction the wind is coming from. Whenever a Combatant would move into a Tempest Hazard, if they are moving against the wind, they must make a CR 5 Athletics or Acrobatics Check. If they fail this check, they cannot enter the space and Slide to the nearest Space without a Tempest Hazard. Otherwise, they treat it as Slowed Terrain. Additionally, Ranged Attacks that would cross a Tempest Hazard have a -3 Accuracy Penalty. "
Wind Blades,EOT,3,Flying,2d6+10 ,Phys,"6, 1 Target","Wind Blades is a Critical Hit on a roll of 18+"
Wind Shift,Scene x2,/,Flying,,Status,"3, 1 Target, Trigger","Wind Shift can only be used as a Swift Action + Reaction when an Enemy uses a 1 Target, Ranged Attack on an Ally within 3m of you. Choose another Ally within 3m of you or yourself to become the new Target. "
Wind Storm,Scene x2,/,Flying,,Status,"Field, Versatile, Weather","The Field becomes Storming for the next 5 Rounds. While the Field is Storming, non Flying Type Enemies lose a Tick of Hit Points at the start of their Turn and Flying Type Pokemon gain a Tick of Temporary Hit Points at the start of their Turn. While the Field is Storming, the Weather becomes Windy."
Wind Wall,Scene x2,/,Flying,,Status,"6, Hazard, Versatile, Trigger","Choose 8 Spaces within the Range of this Attack to create Gale Hazards in such that all 8 Spaces are Adjacent to at least one other Gale Hazard. This Attack may also be Triggered as a Standard Action + Reaction when a Ranged 1 Target or Line Attack is used. If used this way and the Triggering Attack’s Line of Sight would pass through a Gale Hazard, the Attack resisted an Additional Damage Step.

Gale Hazard - Spaces with Gale Hazards are treated as Slow Terrain. Ranged Attacks that Target any Combatant in a Gale Hazard or derive from a Combatant in a Gale Hazard suffer a -3 Penalty to Accuracy."
Wing Attack,At-Will,5,Flying,2d6+8 ,Phys,"Melee, 1 Target, Pass","--"
Whirlwind,Scene x2,3,Flying,,Status,"Line 6 or Burst 1 or Close Blast 3; Versatile","You may destroy any Non-Blocking Hazards within the Range of this Attack. Targets hit by this Attack must perform an Acrobatics Check. You may Slide any Targets hit this way a number of meters at most equal to 6 minus their rolled successes. If they rolled less than 2 Successes, they become Tripped. Spirit Surge"
Astonish,At-Will,2,Ghost,1d8+8 ,Phys,"Melee, 1 Target","If the Target is Flanked, they cannot use Reactions in response to this Attack."
Baneful Claw,Scene x2,6,Ghost,2d6+10 ,Phys,"Close Blast 2","On Even rolls, all Targets become Wounded. On Odd rolls, all Targets become Suppressed"
Confuse Ray,EOT,4,Ghost,,Status,"6, 1 Target, Versatile","The Target becomes Dazed. While Dazed this way, their Damaging Attacks have the Recoil 1/2 Keyword. "
Curse,Scene x2,4,Ghost,,Status,"3, 1 Target, Versatile","The Target becomes Cursed. This may also be used as a Full Action to give it the Sureshot Keyword, but you lose 2 Ticks of Hit Points after the Attack's resolution."
Dark Fog,Scene x2,/,Ghost,,Status,"Blessing, Versatile, Weather","Blessing - Any user affected by Dark Fog may activate it as a Free Action when using a Ghost Type Damaging Attack to grant it the Smite Keyword. If the Attack hits, it hits, it is also increased by one damage step. (Max 1.5x Effectiveness). Dark Fog may be Activated 3 times and then disappears. While this Blessing persists, the Weather becomes Foggy."
Deathly Wail,Scene,8,Ghost,3d8+10 ,Spec,"Burst 2, Full Action, Sonic","On Even Rolls, all Targets become Dazed. On Odd Rolls, all Targets become Cursed. Spirit Surge."
Deception,Scene,/,Ghost,,Status,"3, 1 Target or Self; Coat","The Target gains a Deception Coat. They may activate this Coat when an Enemy misses them with an Attack to cause them to become Dazed. They also may activate this Coat as a Reaction when they miss an Attack against a single Target to instead cause it to hit. This Coat is expended after it is activated twice."
Destiny Bond,Scene,/,Ghost,,Status,"3, 1 Target","The Target becomes Marked with a Destiny Mark. Whenever the user takes damage or loses Hit Points from a source other than itself, their ally or another Destiny Mark, the Combatant with your Destiny Mark loses Hit Points equal to the amount lost. Sureshot."
Devious Strike,EOT,2,Ghost,2d6+8 ,Phys,"Melee, 1 Target","If the user performs a Distract or Hinder Maneuver against the Target this turn, they have a Boon to the opposed check."
Ghastly Scream,At-Will,5,Ghost,1d8+8 ,Spec,"Close Blast 2, Sonic","On a roll of 18+, the Target becomes Dazed."
