Move,Freq,AC,Type,Roll,Dmg. Type,Range,Special Effect
Guardian's Tide,EOT,/,Water,,Spec,"","Guardian's Tide the heals the user for 1/4 of itsmaximum HP on 18+ if used in misty Terrain it heals on 16+ Instead."
Guillotine,Daily,6,Bug,,Phys,"","This Move automatically CriticallyHits targets at or below half of their Max HitPoints. After dealing damage, the targetbecomes Vulnerable for one full round."
Gunk Shot,Daily x2,5,Poison,3d12+10 ,Phys,"6, 1 Target, Smite","Gunk Shot Poisons the Target on 15+."
Gust,At-Will,2,Flying,1d8+6 ,Spec,"4, 1 Target","If the target is airborne as a result of Fly or SkyDrop, Gust can hit them, ignoring Range and has aDB 8 instead."
Gyro Ball,Scene x2,2,Steel,2d6+8 ,Phys,"6, 1 Target","The target reveals their Speed Stat (includingCombat Stages). If it is higher than the user's (again,including Combat Stages), subtract the user's SpeedStat from the target's, and apply the difference as BonusDamage."
Hacksaw,TBD,TBD,Steel,TBD,Phys,"TBD","Super effective vs Steel."
Hail,Daily x2,/,Ice,,Status,"Field, Weather","The weather changes to Hail for 5 rounds. Whileit is Hailing, all non-Ice Type pokémon lose a Tick ofHit Points at the beginning of their turn."
Halo,Daily x2,/,Light,,Status,"","Apply Pallium Coat to the user for 5 turns . Pallium coat = negate secondary effect ofenemyattacks"
Hammer Arm,EOT,3,Fighting,3d8+10 ,Phys,"Melee, 1 Target","The user lowers their Speed 1 Combat Stage."
Happy Hour,TBD,TBD,Normal,TBD,STATUS,"TBD","Doubles the amount of Prize Money received."
Hard Press,TBD,TBD,Steel,TBD,Phys,"TBD","Crushes quicker foes, nullifying their ability."
Harden,At-Will,/,Normal,,Status,"Self","Raise the user's Defense 1 Combat Stage."
Haze,Scene x2,/,Ice,,Status,"Field","The Combat Stages of the user and all pokémonand Trainers in the encounter are set to their defaultstate (usually 0)."
Head Charge,Scene x2,2,Normal,3d12+10 ,Phys,"Melee, 1 Target, Push, Recoil 1/3","The target is Pushed back 2 meters."
Head Smash,Scene,5,Rock,4d10+20 ,Phys,"Melee, 1 Target, Dash, Push, Recoil 1/3","The target is pushed 2 meters."
Headbutt,EOT,2,Normal,2d6+10 ,Phys,"Melee, 1 Target","Headbutt Flinches the target on 15+."
Headlong Rush,Scene,2,Ground,3d8+10 ,Phys,"Melee, 1 Target, Smite, Reckless","The user's Defense and Special Defense areeach lowered by -1 Combat Stage.Headlong Rush may be used as a Free Action at theend of a Sprint Maneuver taken as a Standard Action,as long as the user Shifted at least 3 meters in astraight line towards the target. When used this way,Headlong Rush Trips the target on a hit."
Heal Bell,Scene,/,Normal,,Status,"Burst 3, Sonic","All targets are cured of any Persistent Statusailments."
Heal Block,EOT,2,Psychic,,Status,"6, 1 Target","Until the end of the encounter, the target maynot gain Hit Points or Temporary Hit Points from anysource. This effect ends if the target is switched out orTakes a Breather."
Heal Charge,Daily x2,/,Light,,Status,"","An allies in the burst regain Hit Points equal to 1/4 of their Maximum Hit Points andincreaseits defense by 1 combat stage. Can't use when Darkness weather is active"
Heal Order,Daily x2,/,Bug,,Status,"Self","The user regains Hit Points equal to half of itsfull Hit Point value."
Heal Pulse,Daily x2,/,Psychic,,Status,"6, 1 Target, Aura","Restores 50% of the target's max Hit Points. HealPulse's user may not target itself with Heal Pulse."
Healing Wish,Daily,/,Psychic,,Status,"6, 1 Target","The user immediately Faints, lowering its HP to0. The user takes no Injuries from HP Markers whenusing Healing Wish. The target is immediately curedof up to 3 injuries, healed to their Maximum Hit Points,and has the Frequency of all Moves restored. HealingWish may target a pokémon in a Poké Ball. HealingWish does not restore the Frequency of Healing Wishor Lunar Dance. Injuries healed through Healing Wishcount toward the total number of Injuries that can behealed each day, and this healing is limited by the same."
Heart Stamp,EOT,2,Psychic,2d6+8 ,Phys,"Melee, 1 Target","Heart Stamp Flinches the target on 15+."
Heart Swap,Daily,/,Psychic,,Status,"10, 2 Targets","The targets trade Combat Stage values for eachStat."
Heat Crash,EOT,2,Fire,1d8+6 ,Phys,"Melee, 1 Target, Dash","For each weight class the user is above the target,increase Heat Crash's Damage Base by +2."
Heat Wave,Scene x2,4,Fire,3d8+10 ,Spec,"Close Blast 3, Smite","Heat Wave Burns all Legal Targets on 18+."
Heaven Force,Scence x2,2,Light,,,"Melee, 1 Target, Set-Up","Effect:Resolution Effect:Heaven Force user appears adjacent to any legal target on the field,ignoringMovement Capabilities, and then uses Heaven force. Heaven force cannot be avoided byMoves with the Shield Keyword, the Dodge Ability, or similar effects, and Intercepts may not beattempted in response.:"
Heaven's Punishment,EOT,/,Light,,,"8, 1 Target","Heaven's Punishment blinds the target on 17+."
Heavy Slam,EOT,2,Steel,1d8+6 ,Phys,"Melee, 1 Target","For each weight class the user is above the target,increase Heavy Slam's damage base by +2."
Helping Hand,EOT,/,Normal,,Status,"4, 1 Target, Priority","Helping Hand grants the target +2 on their nextAccuracy Roll this round, and +10 to the next DamageRoll this round."
Hex,EOT,2,Ghost,2d6+10 ,Spec,"6, 1 Target","Once a Scene, if Hex's target has a StatusAffliction, you may have Hex's Damage Base be 13instead (4d10+10 / 35)."
Hex Trot,TBD,TBD,Ghost,TBD,Spec,"TBD","A lively yet haunting dance that may raise Speed."
Hidden Power,EOT,2,Normal,2d6+8 ,Spec,"Burst 1","When a pokémon first obtains the Move HiddenPower, roll 1d20. Hidden Power's Elemental Type willbe changed from Normal to Bug on a result of 1; Darkon 2; Dragon on 3; Electric on 4; Fairy on 5; Fightingon 6; Fire on 7; Flying on 8; Ghost on 9; Grass on 10;Ground on 11; Ice on 12; Normal on 13; Poison on 14;Psychic on 15; Rock on 16; Steel on 17; Water on 18; andon 19 or 20, reroll until you roll another number. Thiseffect is permanent if Hidden Power is forgotten andrelearned, the chosen Type remains the same."
High Horsepower,Scene x2,3,Ground,3d8+10 ,Phys,"Melee, 1 Target","High Horsepower may be used as a Free Actionat the end of a Sprint Maneuver taken as a StandardAction, as long as the user Shifted at least 3 meters ina straight line towards the target. When used thisway, High Horsepower gains Smite."
High Jump Kick,EOT,3,Fighting,4d10+10 ,Phys,"Melee, Dash, 1 Target","If High Jump Kick misses, the user loses HitPoints equal to 1/4th of their Max Hit Points. A failureto hit due to a Move with the Shield keyword does notcount as a miss. This Move cannot be used if Gravity isin effect."
Hold Back,TBD,TBD,Fighting,TBD,Phys,"TBD","An attack that leaves the foe with at least 1 HP."
Hold Hands,Scene x2,/,Normal,,Status,"Melee, 1 Target","Both the user and the target become Cheered.They may give up the Cheered condition when makinga Save Check to roll twice and take the best result."
Homing Fletch,TBD,TBD,Steel,TBD,Phys,"TBD","Not done yet."
Hone Claws,At-Will,/,Dark,,Status,"Self","The user's Accuracy is raised by +1, and the usergains +1 Attack Combat Stage."
Horn Attack,At-Will,2,Normal,2d6+10 ,Phys,"Melee, 1 Target, Dash","None"
Horn Drill,Daily,6,Normal,,Phys,"","This Move automatically CriticallyHits targets at or below half of their Max HitPoints. After dealing damage, the targetbecomes Vulnerable for one full round."
Horn Leech,Scene x2,2,Grass,2d8+10 ,Phys,"Melee, 1 Target, Dash","After the target takes damage, the user gainsHit Points equal to half of the damage they dealt to thetarget."
Howl,At-Will,/,Normal,,Status,"Self","Raise the user's Attack 1 Combat stage."
Hurricane,Scene x2,7,Flying,3d10+10 ,Spec,"Burst 1, Smite","Hurricane Confuses its target on 15+. If thetarget is in Sunny Weather, Hurricane's Accuracy Checkis 11. If the target is in Rainy Weather, Hurricane cannotmiss. If the target is airborne as a result of Fly or SkyDrop, Hurricane cannot miss."
Hydro Cannon,Daily x2,4,Water,4d10+20 ,Spec,"Line 9, Smite, Exhaust","None"
Hydro Pump,Scene x2,4,Water,3d10+10 ,Spec,"6, 1 Target, Push","The target is pushed away from the user 3 meters."
Hydro Steam,TBD,TBD,Water,TBD,Spec,"TBD","The user blasts the target with boiling-hot water."
Hyper Beam,Daily x2,4,Normal,4d10+20 ,Spec,"10, 1 Target, Exhaust, Smite","None"
Hyper Drill,Scene x2,2,Normal,3d8+10 ,Phys,"Melee, 1 Target, Smite",""
Hyper Fang,At-Will,4,Normal,2d8+10 ,Phys,"Melee, 1 Target","Hyper Fang Flinches the target on 19+"
Hyper Voice,Scene x2,2,Normal,2d10+10 ,Spec,"Close Blast 3, Sonic, Smite","All Legal Targets are pushed back to the squaresimmediately outside the blast, away from the user."
Hyperspace Fury,Daily,2,Dark,3d8+10 ,Phys,"Burst 2","Interrupts may not be triggered againstHyperspace Fury. The user's Defense is lowered by -1Combat Stage."
Hyperspace Hole,Daily,2,Psychic,2d8+10 ,Spec,"Melee, 3 Targets","Make and resolve of Hyperspace Hole's attacksseparately. In between each attack, the user may Shiftusing their Teleporter capability, ending the Shift nextto a legal target. Interrupts may not be triggeredagainst Hyperspace Hole."
Hypnosis,Scene x2,6,Psychic,,Status,"4, 1 Target","The target falls Asleep."
Ice Ball,At-Will,4,Ice,1d6+5 ,Phys,"Melee, 1 Target","The user continues to use Ice Ball on each ofits turns until they miss any target with Ice Ball, orare not able to hit any target with Ice Ball during theirturn. Each successive use of Ice Ball increases Ice Ball’sDB by +3 to a maximum of DB 15."
Ice Beam,EOT,2,Ice,2d10+10 ,Spec,"4, 1 Target","Ice Beam Freezes on 19+ during AccuracyCheck."
Ice Breaker,Scene x2,2,Ice,3d12+10 ,Phys,"Melee, 1 Target, Dash, Recoil 1/3","None"
Ice Burn,Scene,4,Ice,4d10+15 ,Spec,"","10, Single Target, Set-Up, Full Action"
Ice Fang,At-Will,3,Ice,2d6+10 ,Phys,"Melee, 1 Target","Ice Fang Freezes or Flinches on 18+ duringAccuracy Check; flip a coin to determine whether thefoe gets Frozen or Flinches. On 20 during AccuracyCheck, the foe is Frozen and Flinches."
Ice Hammer,EOT,4,Ice,3d8+10 ,Phys,"Melee, 1 Target","The user's Speed is lowered by 1 CombatStage."
Ice Punch,At-Will,2,Ice,2d8+10 ,Phys,"Melee, 1 Target","Ice Punch Freezes the target on 19+ duringAccuracy Check."
Ice Shard,At-Will,2,Ice,1d8+6 ,Phys,"4, 1 Target, Priority","None"
Ice Spinner,At-Will,2,Ice,2d8+10 ,Phys,"Line 4","Legal targets hit by Ice Spinner are TrippePassed through or adjacent to those spaces areaffect the user). If the user moves through an arethose effects immediately end."
Ice Wall,TBD,TBD,Ice,TBD,Phys,"TBD","Sets reflect with ice."
Icicle Crash,EOT,4,Ice,2d8+10 ,Phys,"6, 1 Target","Icicle Crash Flinches the target on 15+."
Icicle Impale,TBD,TBD,Ice,TBD,Phys,"TBD","Jabs with a horn. May lower defense."
Icicle Spear,EOT,4,Ice,1d6+5 ,Phys,"6, 1 Target, Five Strike","None"
Icy Wind,EOT,3,Ice,2d6+8 ,Spec,"Cone 2","All Legal Targets have their Speed lowered 1Combat Stage."
Imprison,Scene x2,/,Psychic,,Status,"10, 1 Target","The target is Locked for the rest of the Scene. ALocked target may not use any Moves the user knows.Imprison cannot miss."
Incinerate,At-Will,2,Fire,2d6+8 ,Spec,"Line 3","If a target is holding a Held Item or Main or Off-Hand item, they must either drop it immediately or losea Tick of Hit Points. This may only cause a target to loseat most one Tick of Hit Points, no matter how manyitems they were holding."
Incite,TBD,TBD,Dark,TBD,STATUS,"TBD","Adds dark type and enrages foe."
Infected Injection,Scene x2,3,Poison,3d8+10 ,Phys,"Melee, 1 Target","Infection Badly Poisons the target on 17+."
Infernal Parade,EOT,2,Ghost,2d6+8 ,Spec,"8, Ranged Blast 2","Legal targets hit by Infernal Parade are Burnedon a 17+.Once a Scene, if at least one of Infernal Parade'stargets has a Status Condition, you may have InfernalParade's Damage Base be 12 instead (3d12+10 / 30)."
Inferno,At-Will,9,Fire,3d8+10 ,Spec,"6, 1 Target","Inferno Burns the target. Inferno ignores thetarget's Evasion if there are no other combatants orRough or Blocking Terrain within 2 meters of the target."
Infestation,Scene x2,4,Bug,1d8+6 ,Spec,"3, 1 Target","The target is put in a Vortex."
Infinity Beam,Daily x2,4,Light,,,"8, 1 Target,","The target is blind on 15+."
Ingrain,Scene,/,Grass,,Status,"Self, Coat","Ingrain applies a Coat to the user, which has thefollowing effect; the user cannot be pushed or pulled,and cannot be switched out. At the beginning of each ofthe user's turn, the user gains a Tick of Hit Points."
Insect Impact,TBD,TBD,Bug,TBD,Phys,"TBD","A punch that may drop the target's defense stat."
Instruct,Scene x2,/,Psychic,,Status,"Melee, 1 Target","The target immediately reuses the attack itperformed last, ignoring frequency, as a Free Action.They may choose new targets for the copied attack.Instruct may not be used if the Target's last Move wasa Set-Up Move, a Trigger Move, or Instruct, or if theTarget is currently affected by Exhaust."
Inverse Room,TBD,TBD,Psychic,TBD,STATUS,"TBD","Reverses type matchups for 5 turns."
Ion Deluge,Scene,/,Electric,,Status,"5, Ranged Blast 3, Interupt","An ion cloud is dispersed in the targeted area.All Normal-Type Moves targeting into or originatingfrom the area become Electric-Typed Moves."
Iron Defense,EOT,/,Steel,,Status,"Self","Raise the user's Defense 2 Combat Stages."
Iron Fangs,EOT,2,Steel,2d10+10 ,Phys,"Melee, 1 Target","Effect:Effect:Light Screen,Reflect,Aurora Veil etc may not be activated inresponse to Iron Fangs.:"
Iron Head,EOT,2,Steel,2d8+10 ,Phys,"Melee, 1 Target, Dash","Iron Head Flinches the target on 15+."
Iron Maiden,Daily,6,Steel,,Phys,"","This Move automatically CriticallyHits targets at or below half of their Max HitPoints. After dealing damage, the targetbecomes Vulnerable for one full round."
Iron Tail,Scene x2,6,Steel,3d8+10 ,Phys,"Melee, 1 Target, Smite","Iron Tail lowers the target's Defense 1 CombatStage on 15+."
Iron-Willed Edge,Scene x2,3,,,Phys,"Melee, 1 Target","Iron-Willed Edge deals damage and boosts the user's Defense by 1 Combat Stage if it successfully"
Ivy Cudgel,TBD,TBD,Grass,TBD,Phys,"TBD","Strikes the foe with an ivy-wrapped cudgel."
Jagged Fangs,EOT,3,Rock,2d6+10 ,Phys,"Melee, 1 Target","Jagged Fangs raises user's Attack on 18+"
Jagged Horns,TBD,TBD,Rock,TBD,Phys,"TBD","Not done yet."
Jagged Punch,TBD,TBD,Rock,TBD,Phys,"TBD","Not done yet."
Jaw Lock,Scene x2,2,Fighting,2d6+8 ,Phys,"Melee, 1 Target","You may perform a Grapple Maneuver againstthe target as a Free Action."
Jet Punch,EOT,2,Water,2d6+8 ,Phys,"Melee, 1 Target, Dash, Priority",""
Jetstream Burst,TBD,TBD,Flying,TBD,Spec,"TBD","Strikes by using flurries of wind."
Judgment,Daily,2,Normal,3d8+10 ,Spec,"6, Ranged Blast 3, Smite","Judgment's Type can be whatever ElementalType the user wants it to be."
Jump Kick,At-Will,3,Fighting,3d8+10 ,Phys,"Melee, Dash, 1 Target","If Jump Kick misses, the user loses Hit Pointsequal to 1/4th of their Max Hit Points. A failure to hitdue to a Move with the Shield keyword does not countas a miss. This Move cannot be used if Gravity is ineffect."
Jungle Healing,Daily x2,/,Grass,,Status,"Burst 1","The user and any allies in the burst regain HitPoints equal to 1/4 of their Maximum Hit Point Value,and are cured of any Persistent or Volatile StatusConditions."
Justispear,Scene x2,/,Light,,,"Melee, 1 Target","Justispear cannot miss"
Karate Chop,At-Will,2,Fighting,1d8+8 ,Phys,"Melee, 1 Target","Karate Chop is a Critical Hit on 17+."
Karma,TBD,TBD,Poison,TBD,STATUS,"TBD","Raises SpAtk and SpDef. Lowers Speed."
Ki Blast,EOT,4,Fighting,3d10+10 ,Spec,"8, 1 Target, Aura","Ki Blast Crits on 17+."
Kilobite,TBD,TBD,Steel,TBD,Phys,"TBD","Rushes forward and bites the foe's weak spot."
Kinesis,Scene,/,Psychic,,Status,"6, 1 Target, Trigger, Interrupt","If the user or an Ally within 6 meters is aboutto be hit by an attack, the user may use Kinesis as aninterrupt. The triggering Accuracy Roll receives a -4penalty. This may cause Moves to miss."
Kinetic Barrage,TBD,TBD,Psychic,TBD,Phys,"TBD","Throws nearby objects using telekinesis. May Confuse."
King's Shield,Scene,/,Steel,,Status,"Self, Interrupt, Shield, Trigger","If the user is hit by an attack, the user may useKing's Shield. The user is instead not hit by the Move.You do not take any damage nor are you affected by anyof the Move's effects. In addition, if the triggering attackwas Melee ranged, the attacker's Attack is lowered by 2Combat Stages."
Knock Off,Scene,2,Dark,2d6+10 ,Phys,"Melee, 1 Target","Choose one of the target's Held Items orAccessory Slot Items. It is knocked to the ground."
Kowtow Cleave,EOT,/,Dark,2d10+10 ,Phys,"Melee, 1 Target","Kowtow Cleave cannot miss."
Krag Cutter,Scene x2,/,Rock,,Phys,"","Crag Cutter delivers a powerful strike that boosts the user's Attack by 1 Combat Stage if itsuccessfully hits the target. Additionally, if the user's HP is below half this move Gains +2 Accuracy."
Land's Wrath,Scene x2,2,Ground,2d10+10 ,Phys,"Burst 5, Friendly, Groundsource","None."
Laser Beam,At-Will,4,Light,,,"Line 6","Laser Beam blinds target on 17+"
Laser Focus,Scene x2,/,Normal,,Status,"Self","The next successful damaging attack made bythe user is automatically a Critical Hit."
Laser Vision,Scence x2,2,Light,,,"5,1 Target","Laser Vision DB 8 Burns the target on 15+"
Lash Out,EOT,2,Dark,2d6+8 ,Phys,"Melee, 1 Target","If the user has lost CS from a source other thanitself since the end of its last turn, Lash Out is insteadDB 15 (4d10 + 20 / 45). Any given foe may be thetarget of this increased damage only once per Scene."
Last Resort,At-Will,2,Normal,4d10+15 ,Phys,"Melee, 1 Target, Dash","Last Resort can only be used after the user hasperformed 5 other different Moves in its Move Listduring a single fight, without being switched out."
Last Respects,At-Will,2,Ghost,1d8+8 ,Phys,"Melee, 1 Target",""
Lava Plume,EOT,2,Fire,2d8+10 ,Spec,"Burst 1","Lava Plume burns all targets on 16+."
Leaf Blade,EOT,2,Grass,2d10+10 ,Phys,"Melee, Pass","Leaf Blade is a Critical Hit on 18+."
Leaf Storm,Scene,4,Grass,4d10+10 ,Spec,"8, Ranged Blast 3, Smite","Lower the user's Special Attack 2 Combat Stagesafter damage."
Leaf Tornado,EOT,4,Grass,2d6+10 ,Spec,"6, Ranged Blast 3","Small or Medium targets in the central square ofthe blast are not hit. On 15+, all legal targets have theirAccuracy lowered by -1."
Leafage,At-Will,2,Grass,1d8+6 ,Phys,"","6, 1 Target"
Leech Blade,TBD,TBD,Grass,TBD,Phys,"TBD","Heals 50% damage done."
Leech Life,Scene x2,2,Bug,2d8+10 ,Phys,"Melee, 1 Target","After the target takes damage, the user gainsHP equal to half of the damage they dealt to thetarget."
Leech Seed,Daily x2,4,Grass,,Status,"6, 1 Target","At the beginning of each of the target's turns,Leech Seed's target loses a Tick of Hit Points. LeechSeed's user then gains Hit Points equal to the amountthe target lost. Leech Seed lasts until the target faintsor is returned to a Poké Ball. Grass Types and targetsimmune to Grass Attacks are immune to Leech Seed."
Leer,At-Will,2,Normal,,Status,"Cone 2, Friendly, Social","All legal targets have their Defense lowered by 1Combat Stage."
Lick,At-Will,2,Ghost,1d6+5 ,Phys,"Melee, 1 Target","Lick Paralyzes the target on 15+ during AccuracyCheck."
Life Dew,Daily x2,/,Water,,Status,"Burst 1, Healing","The user and all allies in the burst regain HitPoints equal to 1/4 of their Maximum Hit Points."
Light Beam,Scence x2,6,Light,,,"Line 5","Light Beam Blinds Target on 18+"
Light Kick,EOT,4,Light,,,"Melee, Dash, 1 Target",""
Light Pulse,Scence x2,2,Light,,,"Cone 2","Light Pulse lowers target's special defense on 19+."
Light Screen,Scene,/,Psychic,,Status,"Blessing","Effect:Blessing:Any user affected by Light Screenmay activate it when receiving Special Damage to resistthe Damage one step. Light Screen may be activated 2times, and then disappears.:"
Light Tail,At-Will,3,Light,,,"Melee, 1 Target","Target is pushed 6 meters minus their Weight class. On 17+ , target is Blinded"
Light Up,Scene x2,2,,,Spec,"8, 1 Target","Light Up has a chance to burn the target on 17+. It may does fire Damage if the User"
Light blade,EOT,2,Light,,,"Melee, Pass","Light Blade is a critical hit on 18+"
Light of Ruin,Scene,4,Fairy,4d10+15 ,Spec,"8, Ranged Blast 3, Smite, Recoil 1/2","None"
Light of Truth,Daily x1,4,Light,,Status,"","Blinds the target"
Lightning Bullet,TBD,TBD,Electric,TBD,Phys,"TBD","Shoots a powerful energy projectile that may paralyze."
Lightning Strike,TBD,TBD,Electric,TBD,Phys,"TBD","A rapid strike with a lightning bolt, maybe raising Speed."
Lightray Pulse,EOT,2,Light,,SpecialDamage Base,"5, 1 Target","Lightray Pulse blinds on the target on 18+"
Liquidation,EOT,2,Water,2d10+10 ,Phys,"Melee, 1 Target","The target's Defense is lowered by 1 CombatStage on a 17+."
Lock-On,At-Will,/,Normal,,Status,"10, 1 Target","The target is Locked-On. The next Move that theuser uses against the Target that requires an AccuracyCheck cannot miss. Lock-On's effect, on both the Userand Target, is passed on by Baton Pass."
Lotus Shower,TBD,TBD,Grass,TBD,Phys,"TBD","Not done yet."
Lovely Bite,At-Will,3,Fairy,2d6+10 ,Phys,"Melee, 1 Target","Lovely Bite Infatuates the target on a roll of 18+"
Lovely Kiss,Scene x2,6,Normal,,Status,"6, 1 Target, Social","The target falls Asleep."
Low Kick,EOT,2,Fighting,,Phys,"Melee, 1 Target, Weight Class","Low Kick's Damage Base is equal to twice thetarget's Weight Class."
Low Sweep,EOT,2,Fighting,2d6+10 ,Phys,"Melee, 1 Target","Lowers the target's Speed 1 Combat Stage."
Lucky Chant,Scene,/,Normal,,Status,"Blessing","Effect:Blessing:Any user affected by Lucky Chantmay activate it when receiving a Critical Hit to cause theattack to instead deal damage as if it was not a CriticalHit. Lucky Chant may be activated 3 times, and thendisappears.:"
Lumina Crash,EOT,2,Psychic,2d8+10 ,Spec,"6, 1 Target",""
Lunar Blessing,Daily,/,Psychic,,Status,"Self","The user regains hit points equal to 50% of itsHit Point total, cures all of its Status conditions, andgains +2 Evasion."
Lunar Canon,Scene x2,2,Dark,3d12+10 ,Spec,"Line 6, Set-Up","The user attacks with LunarCannon."
Lunar Dance,Daily,/,Psychic,,Status,"8, 1 Target","The user immediately Faints, lowering itsHit Points to 0. The user takes no Injuries from HitPoint Markers when using Lunar Dance. The target isimmediately cured of up to 3 injuries, healed to theirMaximum Hit Points, and has the Frequency of all Movesrestored. Lunar Dance may target a pokémon in a PokéBall. Lunar Dance does not restore the Frequency ofHealing Wish or Lunar Dance. Injuries healed throughLunar Dance count toward the total number of Injuriesthat can be healed each day, and this healing is limitedby the same."
Lunge,EOT,2,Bug,2d8+10 ,Phys,"Melee, 1 Target","Lunge may be used as a Free Action at the endof a Sprint Maneuver taken as a Standard Action, aslong as the user Shifted at least 3 meters in a straightline towards the target. When used this way, Lunge'starget receives a -5 penalty to damage rolls for 1round."
Luster Purge,Scene x2,2,Psychic,3d8+10 ,Spec,"12, 1 Target, Spirit Surge","Luster Purge lowers the target's Special Defenseby 1 Combat Stage on an Even-Numbered Roll."
Mach Punch,At-Will,2,Fighting,1d8+6 ,Phys,"Melee, 1 Target, Priority","None"
Magic Coat,Daily,/,Psychic,,Status,"4, Interrupt, Trigger","If the user is about to get a hit by a Move thatdoes not have a Damage Dice Roll, they may use MagicCoat as an Interrupt. The Interrupted Move's user istreated as if they were the target of their own Move, withthe user of Magic Coat as the user."
Magic Powder,Daily,2,Psychic,,Status,"5, 1 Target","The target gains the Psychic Type in additionto its other Types for 5 turns."
Magic Room,Daily x2,/,Psychic,,Status,"Field","The area becomes Useless for 5 rounds. WhileUseless, pokémon may not benefit from the effectsof any Held Items, and Trainers cannot benefit fromany Accessory-Slot equipment. This does not affectconsumable or activated items, only Items with Staticeffects or Triggers."
Magical Leaf,EOT,/,Grass,2d6+8 ,Spec,"8, 1 Target","Magical Leaf cannot miss."
Magical torque,EOT,2,Fairy,3d8+10 ,Phys,"Melee, 1 Target",""
Magma Storm,Scene,6,Fire,3d8+10 ,Spec,"6, 1 Target","The target is put in a Vortex; this effect occurseven if Magma Storm misses its target."
Magnet Bomb,EOT,/,Steel,2d6+8 ,Phys,"8, 1 target","Magnet Bomb cannot miss."
Magnet Rise,Daily x2,2,Electric,,Status,"Self, Swift Action","The user gains the Levitate Ability for 5 turns.Magnet Rise may be activated as a Swift Action if theuser is otherwise given an action that consumes aCommand."
Magnetic Flux,Scene x2,/,Electric,,Status,"Burst 4","All targets with the Plus or Minus Abilitiesreceive +1 Defense and Special Defense CombatStages."
Magnitude,,/,Ground,,Phys,"Burst 2, Groundsource","When you use Magnitude, roll 1d6. Magnitude’sDB is equal to 5+X, where X is the value ofthe d6. Magnitude can hit targets that are underground,including those using the Move Dig."
Make It Rain,Daily,2,Steel,3d12+10 ,Spec,"Cone 2",""
Malignant Chain,TBD,TBD,Poison,TBD,USE_HIGHEST_OFFENSE,"TBD","The user pours toxins into the target. Badly poisons the target"
Malodorant Vortex,Scene x2,4,Fire,1d8+8 ,Spec,"Range 6 , 1 target","The target is put in a Vortex and while in the vortex target get 1 AC to all it's rolls andpoison range of moves target it is increased by +2."
Mat Block,Scene,/,Fighting,,None,"Self, Interrupt, Shield, Trigger","If the user or an adjacent ally is hit by a damagingattack, the user may use Mat Block. The attack insteaddoes not hit any targets, and it deals no damage and nohas effects. You may only use Mat Block during the firstround of an encounter."
Matcha Gotcha,TBD,TBD,Grass,TBD,Spec,"TBD","Fires a blast of tea. May burn and heals 50% dmg dealt."
Me First,Scene,/,Normal,,Status,"Self, Trigger, Interrupt","If an opponent declares a Damaging Attackagainst the user, and Me First's user has a higher Speedstat then the target, the user may use Me First as anInterrupt. The User will then use the same Move thetriggering foe was about to use on that foe."
Mean Look,Scene,/,Normal,,Status,"6, 1 Target, Social","The user casts a foul spell on the target, causingit to become Trapped and Slowed for the remainder ofthe encounter."
Meditate,At-Will,/,Psychic,,Status,"Self","Raise the user's Attack 1 Combat Stage."
Medusa Ray,Daily,2,Rock,2d8+10 ,Status,"5, 1 Target","The target gains the Rock Type in addition toits other Types for 5 turns"
Mega Drain,At-Will,2,Grass,1d8+6 ,Spec,"6, 1 Target","After the target takes damage, the user gainsHit Points equal to half of the damage they dealt to thetarget."
Mega Kick,Scene x2,6,Normal,3d12+10 ,Phys,"Melee, 1 Target, Dash, Push, Smite","The target is Pushed 2 meters."
Mega Punch,At-Will,4,Normal,2d8+10 ,Phys,"Melee, 1 Target","None"
Megahorn,Scene x2,5,Bug,3d12+10 ,Phys,"Melee, 1 Target, Push","The target is pushed 1 Meter."
Megaton Hammer,TBD,TBD,Fighting,TBD,Phys,"TBD","A devistating blow delivered with a heavy weapon."
Melting Boulder,Scene x2,2,,2d8+10 ,Phys,"5, 1 Target","Melting Boulder Burns the target on 15+."
Memento,Scene,/,Dark,,Status,"8, 1 Target, Trigger, Free Action","Memento may be used as a Free Action whenthe user becomes Fainted. Memento's target has each oftheir stats lowered by -2 CS."
Merculight,TBD,TBD,Electric,TBD,STATUS,"TBD","Evades attacks and paralyzes the attacker."
Metal Burst,Scene,/,Steel,,Phys,"Burst 1","Metal Burst causes all targets in the burst to loseHit Points equal to the total amount of direct Damagethe user has taken since the beginning of this Round.Metal Burst cannot miss."
Metal Claw,At-Will,3,Steel,1d8+8 ,Phys,"Melee, 1 Target, Spirit Surge","Raise the user's Attack 1 Combat Stage on 18+."
Metal Overload,Scene x2,4,Steel,3d12+10 ,Phys,"Melee, 1 Target.","Prevents target from using the same move for the next two turn."
Metal Sound,EOT,4,Steel,,Status,"Burst 2, Friendly, Sonic","All Legal Targets have their Special Defenselowered 2 Combat Stages."
Metallic Melody,TBD,TBD,Steel,TBD,Spec,"TBD","Hits the body rhythmically to damage the opponent with sound."
Meteor Assault,Daily x2,2,Fighting,4d10+20 ,Phys,"","Burst 1, Smite, Exhaust"
Meteor Beam,Scene x2,4,Rock,3d12+10 ,Spec,"","Cone 3, Set-Up"
Meteor Mash,EOT,4,Steel,2d10+10 ,Phys,"Melee, 1 Target, Dash, Spirit Surge","Raise the user's Attack 1 Combat Stage on 15+."
