Name,Effect
Long Reach,"Static
All of the user's Melee range, 1 target moves now have a range of 4, 1 Target. Additionally, all moves that
were previously ranged 1 target now have 2 further range."
Loose Quillls,"Trigger- The Target is hit by a damaging physical move
When the user takes physical damage as a reaction they may use the move spikes and apply it to the area
immediately around them."
Loose Quills,"Sets a layer of Spikes when hit (contact move)."
Loose Rocks,"Trigger- The Target is hit by a damaging physical move
When the user takes physical damage as a reaction they may use the move Stealth Rock and apply it to the
area immediately around them."
Looter,"Scene – Free Action
Trigger: The user KO a pokemon or trainer
Ther User recovers 3 Ticks of HP"
Loud Bang,"Sound-based moves have 50% chance to confuse the foe."
Lound Bang,"Static
Sound Moves Confuses on 18+."
Low Blow,"Attacks with 40BP Feint Attack on switch-in."
Low Visibility,"Summons Eerie Fog on entry."
Lucky Halo,"Negates self stat drops. Endures the a single KO."
Lullaby,"Scene – Free Action
Effect: Connection - Sing. Whenever the user uses the Move “Sing”, they may activate this Feature. The user
then picks a Pokémon or Trainer being targeted by Sing; Sing automatically hits that target."
Lumberjack,"1.5x damage to Grass types."
Lunar Affinity,"Copies lunar moves used by others."
Lunar Blessing,"Static
Fairy & Light moves Damage Based increased by 1."
Lunar Eclipse,"Static
Fairy & Dark Damage Base Increased by 1. Hypnosis has +2 bonus to accuracy roll."
Lunchbox,"Scene – Free Action
Trigger: The user trades in a Digestion Buff
Effect: The user gains 1/2 Tick of Temporary Hit Points. These Temporary Hit Points stack with any Temporary
Hit Points granted by the triggering Buff."
Mach Speed,"Static
Effect: The user gains Last Chance with Flying."
Magic Bounce,"Scene – Free Action
Trigger: The user is hit by a Status Move
Effect: The user may reflect the Move back to the attacker. This Ability may be used to change the placement
and affiliation of any Hazards being set within 10 meters of the user as well. Defensive."
Magic Guard,"Static
Effect: The user is immune to damage and Hit Point loss from Hazards, Weather, Status Afflictions, Vortexes,
Recoil, Hay Fever, Iron Barbs, Rough Skin, and Leech Seed. Defensive."
Magical Dust,"If hit by a contact move, gives Psychic type to the attacker."
Magical Fists,"Punching moves use Special Attack and get a 1.3x boost."
Magician,"Scene – Free Action
Trigger: The user hits a foe with a damaging SingleTarget attack
Effect: The user takes the target’s Held Item. This Ability may not be triggered if the user is already holding a
Held Item."
Magma Armor,"The user cannot be affected by frostbite and resists Water and Ice type moves one step further. Defensive."
Magma Eater,"Predator + Molten Down."
Magnet Pull,"At-Will – Swift Action
Target: A Steel-Type Pokémon
Effect: Until the end of the user’s next turn, the target may not move more then 8-meters away from the user
and/or may not move closer than 3-meters to the user"
Majestic Bird,"The Pokémon’s Base Special Attack stat is increased by 50%. This may double any bonuses from Nature or
Vitamins, but not bonuses from Trainer Features."
Majestic Moth,"Scene – Swift Action
Trigger: The user is sent out
Increase Highest stat by 1 CS."
Malicious,"Lowers the foe's highest Attack and Defense stat."
Marine Apex,"50% more damage to Water-types + Infiltrator."
Marvel Scale,"Static
Effect: When Asleep, Paralyzed, Burned, Frozen or Poisoned, Marvel Scale raises the user’s Defense by +2
Combat Stages. The Combat Stages return to normal if the user is cured of their status affliction.Defensive."
Master Hand,"Mega Launcher + Rampage."
Max Acceleration,"Moves use the Speed stat for damage calculations."
Mega Launcher,"Static
Effect: The user increases the Damage Base of Aura Sphere, Dark Pulse, Dragon Pulse, and Water Pulse,Beam
by +2DB."
Megabite,"Biting moves use SpAtk and deal 30% more damage."
Memory Wipe,"Scene - Special
Effect: The user selects a Pokémon or Trainer within 10 meters. If used as a Swift Action, the last Move used by
the target becomes Disabled. If used as a Standard Action, the target is Flinched. If used as an Extended
Action that takes about 1 minute, it can erase up to 5 minutes that have occurred within the last 30 minutes
from the target’s memory."
Menacing Situation,"20% chance to Fear on contact. Also works on offense."
Merciless,"Static
When the user attacks a target that is Poisoned, increase the critical range of the attack by 3. If they are Badly
Poisoned, the critical range is instead increased by 6."
Metallic,"Adds Steel type to itself."
Metallic Jaws,"Metallic + Primal Maw."
Mighty Horn,"Static
Increases user's Horn and drill based moves DB by 2."
Migraine,"Static
Effect: While the user is at 50% Hit Points or less, it gains the Telekinetic Capability and may add STAB to
Psychic-Type Moves."
Mimicry,"Static
The user changes their Type to match the field. Pick one type from the following table. If two or more rows are
relevant (such as because of Weather), pick one. (Chart may be used for Camouflage, as well)\n\n -
Field/Weather -> Type\n
Beach -> Ground or Water\n
Cave -> Rock or Dark\n
Cave -> Rock or Dark\n
Desert -> Ground or Rock\n
Forest -> Grass\n
Fresh Water/Ocean -> Water\n
Grassland -> Normal or Grass\n
Marsh -> Water or Poison\n
Mountain -> Rock or Ground\n
Rainforest -> Grass or Poison\n
Taiga -> Ice or Grass\n
Tundra -> Ice\n
Urban -> Normal or Steel\n
Sunny -> Fire\Light/n
Rainy -> Water\n
Snowing -> Ice\n
Sandstorming -> Rock"
Mimitree,"Static
Effect: Connection - Mimic. Whenever the user uses a Move copied by Mimic, they may choose to replace that
Move with Mimic once more. When used this way, the user ignores Mimic’s Frequency"
Mind Crunch,"Biting moves use SpAtk and deal 30% more damage."
Mind Mold,"Static
The user gains Last Chance with Psychic."
Mind's Eye,"Hits Ghost-type Pokémon. Accuracy can't be lowered."
Mineralize,"At-Will – Free Action
Trigger: The user uses a Normal-Type or Sound-Type damaging Move
Effect: The Move is changed to be Rock-Type and gains +1 Damage Base."
Mini-Noses,"Daily - Standard Action
Effect: The user detaches up to three Mini-Noses from themselves and places them adjacent to them on the
battlefield. These Mini-Noses have HP equal to the user’s level but otherwise uses their user’s stats. Each
MiniNose has a Levitate Speed of 4. The user may Shift them each round on their turn, and they may originate
any Ranged Move from one of the Mini-Noses instead of themselves if they choose. If a Mini-Nose is reduced
to 0 HP, it is destroyed and takes a full 24 hours to regrow, one at a time. If the user has less than three grown
MiniNoses, then this ability can only place as many on the field as are available. All Mini-Noses deactivate, but
are not destroyed, if the user is Fainted. Mini-Noses cannot be made to Shift more than 5 meters away from
the user; if they are forced farther away, they will automatically Shift toward the user on the user’s turn."
Minion Control,"Moves hit an extra time for each healthy party member."
Minus,"Scene – Free Action
Target: An ally with Plus within 10 Meters
Effect: The target’s Special Attack is raised by +2 Combat Stages"
Miracle Mile,"Static
Effect: The user gains Last Chance with Fairy."
Mirror Armor,"At-Will – Free Action, Reaction
Trigger: A foe’s Move or Ability directly lowers the user’s CS (including Effect Ranges, but not including things
like Status)
Effect: The user’s CS are instead not lowered, and the triggering foe’s CS in the affected stats are instead
lowered the same amount the user’s would have been."
Missile Launch,"Scene x2 – Standard Action
Effect: Connection – Dragon Darts. The user places two Dreepy Tokens within 6m. The user may move all
Dreepy Tokens it controls 4m as a Swift Action. A Dreepy Token can freely enter other creatures’ squares as
part of this movement, which destroys the token, and causes the creature to suffer an AC2 DB 5 Physical
Dragon-Type attack as if from the user of Missile Launch. Dreepy Tokens may be targeted. They have the same
evasions as the user, and any damage destroys them (including from Smite damage)."
Misty Surge,"Scene – Swift Action
The Field becomes Misty, as if affected by the Move Misty Terrain."
Mojo,"Static
Effect: Normal Types are not immune to the user’s Ghost-Type Moves."
Mold Breaker,"Static"
Molten Blades,"Keen Edge + Keen Edge moves have a 20% chance to burn."
Molten Down,"Static
User's Fire-Type moves are super effective against Rock-type"
Momentum,"Static
Adds 30% of speed to contact moves damage."
Monkey Business,"Uses Tickle on entry."
Monster Hunter,"Deals 1.5x more damage to Dark-types."
Monster Mash,"Casts Trick-or-Treat on entry."
Moody,"At-Will – Free Action
Trigger: The user joins an encounter, misses with a Move, or hurts itself in Confusion
Moody must be activated whenever it is triggered. Roll 1d10 to determine a Stat to be raised by +2 Combat
Stages, then roll 1d10 to determine a Stat to be lowered by 2 Combat Stages. 1 or 2 is Attack, 3 or 4 is
Defense, 5 or 6 is Special Attack, 7 or 8 is Special Defense, 9 or 10 is Speed."
Moon Spirit,"Fairy & Dark gains STAB. Moonlight recovers 75% HP."
Mosh Pit,"Ally's attacks get a 1.25x boost. 1.5x if attack causes recoil."
Motor Drive,"Static
Effect: The user is immune to the damage and effects of Electric Type attacks. Whenever an Electric Type
attack hits the Pokémon, raise their Speed by +1 Combat Stage. Defensive."
Mountain Peak,"Static
Effect: The user gains Last Chance with Rock."
Mountain Will,"Boosts Rock-type moves by 1.3x, or 1.8x when below 1/3 HP."
Mountaineer,"Static
User is ummne to Rock-Type moves and Stealth Rock.Defensive."
Moxie,"Static
Effect: Whenever the user’s Move causes a target to faint, it may raise its Attack Combat Stage by +1. You may
only trigger Moxie once per Move, even if the Move causes multiple targets to faint."
Mud Dweller,"Static
Effect: The user resists Ground-Type and Water-Type attacks one step further.Defensive."
Mud Shield,"Scene – Swift Action
The user gains two ticks worth of Temporary Hit Points
Bonus: When standing on any muddy or dirty terrain that is either Slow or Rough Terrain, the user gains +5
Damage Reduction. Defensive."
Multi Headed,"Scene – Swift Action
The user may use a move again based on the number off heads but deals 20% damage with extra attacks"
Multiscale,"Static
Effect: When at full Hit Points, when taking damage from a Move, half the total damage before applying
weakness and resistance, after applying your Defenses. Defensive."
Multitype,"At Will – Free Action
Effect: The user changes its Elemental Type to any of the Elemental Types. Multitype cannot be copied or
disabled."
Mummy,"Daily – Free Action
Trigger: The user is hit by a Melee Attack"
Mycelium Might,"Static
Effect: If the user acts after its target and uses a status class move, it can inflict any status conditions caused
by the move unimpeded by the target's abilities."
Mystic Blades,"Keen edge moves become special and deal 30% more damage."
Mystic Power,"Static
User Gains STAB on all moves."
Mythical Arrows,"Arrow moves become special and deal 30% more damage."
Natural Cure,"Scene – Free Action
Whenever the user is returned to its Poké Ball or Takes A Breather, it may activate Natural Cure to cure itself of
all Persistent Status Afflictions."
Natural Recovery,"Natural Cure + Regenerator."
Needles,"Static
Connection — Needle Arm. Whenever the user hits a target with a Physical Melee attack, that target loses a
Tick of Hit Points."
Neuroforce,"Grants an additional 1.35x boost to Super-effective moves."
Neurotoxin,"Inflicting poison also lowers Attack, SpAtk, and Speed."
Neutralizing Gas,"Static
that area (the user is unaffected by this). If the user uses Poison Gas, Smog, Clear Smog, or Strange Steam,"
Nika,"Iron fist + Water moves function normally under sun."
Nimble Strikes,"Static
The user adds half their Speed Stat to the Damage Rolls of their physical Normal-Type Moves."
No Guard,"Static
The user may not apply any form of Evasion to avoiding Melee attacks; however, the user ignores all forms of
evasion when making Melee attack rolls."
No Turning Back,"Boosts all stats but can't retreat when below 1/2 max HP."
Noctem,"Scene – Free Action
Effect: The Weather changes to New Moon (darkness) for 5 rounds."
Nocturnal,"Static
User's Dark & Fairy -Type moves DB +1 and Dark & Fairy Moves are resisted one Step Further by
User.Defensive."
Noise Cancel,"Protects the party from sound-based moves."
Normalize,"Static
All Moves performed by the Pokémon are considered Normal Type instead of whatever Type they normally
are."
North Wind,"Scence x1 Swift Action
Effecct : Sets Blessing Aurora Veil.User is immune to Hail damage."
Nosferatu,"Contact moves do +20% damage and heal 1/2 of damage dealt."
Nueroforce (ou neuroforce gé vu lé 2),"Static
If this Pokemon uses a supereffective attack, increase that attacks DB by 2 during the damage calculation."
Oblivious,"Static
The user is immune to the Enraged and Infatuated conditions.The User is Also immune to Intimidate,Scare and
Frighten Defensive."
Odious Spray,"Scene – Free Action
Connection - Poison Gas. The user may activate this Ability when using Poison Gas to cause Poison Gas to be
a single target attack with a range of 8. When used this way, Poison Gas has an AC of 2, and also flinches its
target if it hits."
Oil Slick,"Scene x2 - Special
Bonus: The user cannot gain an Oil Coat.
Effect: The user may use Oil Slick as a Shift Action to make Oil Hazards in a Burst 1 around itself, as a Standard
Action to make a Ranged Blast 3 within 5m of itself, or as a Swift Action during its Shift Action to leave Oil
Hazards in any squares it passes through, including their starting tile. An Oil Hazard is a special Type of Hazard
that causes any Pokemon or Trainer that starts their turn in an Oil Hazard or moves through an Oil Hazard
gains an Oil Coat. Any Pokemon or Trainer moving through an Oil Hazard is moved in a straight line, ignoring
Movement Capabilities, until they are in a square that no longer contains an Oil Hazard, at which point their
Shift Action ends. A Pokemon or Trainer with an Oil Coat gains -3 Evasion, and if a damaging Fire-Type Move
hits a Pokemon or Trainer with an Oil Coat, they resist that move one step less and the Coat is removed. If a
Fire-Type Move is used in or targets the same square as an Oil Hazard, that Oil Hazard becomes a Fire Hazard
as in the Type Ace Feature Trailblaze. All effects that destroy Hazards remove Oil Hazards."
Old Mariner,"Seaweed + Water STAB."
Olé!,"20% chance to evade single-target moves."
Omen,"Scene – Swift Action
Choose a Pokémon or Trainer within 5 meters. The target’s Accuracy is lowered by 2"
On the Prowl,"+1 priority for the first turn. Negative priority becomes +0."
Opportunist,"Static
Trigger: A Pokemon within 5m gains positive combat stages
Effect: The user may Mirror the CS gained (This may only Target a Pokemon once per scene)"
Orichalcum Pulse,"Scene-Free action
Trigger: User joins encounter
Effect: The user turns The weather to Sunny, While sunny the user gains +1 Combat stages in Attack and
Special Attack"
Overcharge,"Static
User's Electric moves do super effective damage against Electric-Types."
Overcoat,"Static
The user is immune to Moves with the Powder Keyword, and does not take damage from any Weather that
would normally cause it to take damage. Defensive."
Overgrow,"Static
The user gains Last Chance with Grass."
Overhelm,"Static
User can hit Fairy with Dragon-Type moves. User is also immune to Intimidate, Scare and Frighten"
Overload,"Static
The user gains Last Chance with Electric."
Overwatch,"On the Prowl + Stakeout."
Overwhelm,"Hits Fairies with Dragon moves. Immune to Intimidate and Scare."
Own Tempo,"Static
The user is immune to Confusion.User is also immune to Intimidate, Scare and Frighten. Defensive."
Pack Hunt,"At-Will – Free Action
Trigger: An adjacent foe is damaged by an ally’s Melee Attack
The user may make a Physical Attack with an AC of 5 against the triggering foe. If the attack hits, the foe loses
a Tick of Hit Points."
Parasitic Spores,"Deals 1/8 HP damage to non-Ghost. Spreads on contact."
Parental Bond,"Static
Only Kangaskhan with the Baby Template can be Mega Evolved and gain this Ability. While they have this
Ability, the Baby gains 10 Damage Reduction, and will leave its mother’s pouch and may be commanded to
take action in battle. Both the Baby Kangaskhan with this Ability and its Mother may take their turn when the
Mother takes its turn; the Baby will not willingly walk farther than 10 meters from its mother however. If the
Baby Kangaskhan with this Ability is Fainted, its mother will become Enraged, and gain 5 Damage Reduction
and +5 to Damage Rolls for the remainder of the Scene."
Parroting,"Copies sound moves used by others. Immune to sound."
Parry,"Scene – Free Action
Trigger: The user is hit by a Melee Attack
The attack instead misses. Defensive."
Pastel Veil,"Static
The user and allies within 3 meters cannot be Poisoned or Badly Poisoned. Defensive."
Patchwork,"Disguise + curses the opponent when its Disguise breaks."
Pattern Change,"Changes type depending on the move it's about to use."
Peaceful Slumber,"Sweet Dreams + Self Sufficient."
Perception,"At-Will – Shift Action, Interrupt
Trigger: An ally uses an area-of-effect attack that would hit you
You may Shift to remove yourself from the areaof-effect.Defensive."
Perfectionist,"Move BP < 51 BP: +1 to crit rate. Move BP < 26 BP: +1 priority too."
Perfectionnist,"Static
Moves with DB 3 or less gain priority and crit range extended by 1.
Moves with DB 6 Crit range extended by 1."
Perish Body,"Daily – Standard Action, Reaction
Trigger: The user is hit with a Melee attack
The triggering creature and the user each receive a Perish Count of 3. At the beginning of each of the target’s
turns, their Perish count is lowered by 1. Once a Perish Count reaches 0, set the Pokémon’s Hit Points to 0. A
Perish Count disappears if a target returns to their Poké Ball, Takes a Breather, or is knocked out. Perish Body
never causes Massive Damage. Defensive."
Permafrost,"Static
>When the user is hit by a Super-Effective attack, the attack deals 1.2x damage instead of x1.5 damage. If the
user is hit by a Super-Super-Effective attack, the attack deals x1.5 damage instead of x2 damage. Additionally,
whenever the user would lose a Tick of Hit Points due to an effect such as Sandstorm or the Burn Status
condition, subtract 5 from the amount of Hit Points lost. Defensive."
Permanence,"Foes can't heal in any way."
Petrify,"Clears stat buffs then lowers speed by one stage on entry."
Phantom,"Adds Ghost type to itself."
Phantom Pain,"Ghost-type moves deal normal damage to Normal."
Phantom Thief,"Attacks with 40BP Spectral Thief on switch-in."
Photonic Surfer,"Static
On Light terrain or while under half maximum Hit Points, the user's Initiative is doubled."
Photosynthesis,"Daily – Extended Action
Effect: While in Sunny Weather, the user receives +1 Combat Stage in their highest non-HP stat."
Phototroph,"Daily x5 – Swift Action
The user gains a Tick of Hit Points. Phototroph may only be used while the user is under 50% Hit Points or in
Sunny Weather"
Pickpocket,"Scene – Free Action
Trigger: The user is hit by an opponent with a Melee Move
If the opponent has a Held Item and the user does not, the user takes the Held Item the opponent is holding"
Pickup,"Daily – Extended Action
You may use Pickup as an Extended Action that requires at least 5 minutes. Roll 1d20, consult the Pickup
keyword to figure out what you find!"
Piercing Solo,"Sound moves cause bleeding."
Pinnacle Blade,"Slashing moves always hit and break protection and barriers."
Pixie Power,"1.2x accuracy. Boosts Fairy moves by 1.33x for all."
Pixilate,"At-Will - Free Action
Trigger: The user uses a Normal-Type or Sound-Type damaging Move
The Move is changed to be Fairy-Type and gains +1 Damage Base."
Plasma Lamp,"Boost accuracy & power of Fire & Electric type moves by 1.2x."
Plus,"Scene – Free Action
Target: An ally with Minus within 10 Meters
The target’s Special Attack is raised by +2 Combat Stages."
Poison Absorb,"Static
The user is immune to the damage and effects of Poison-Type attacks, and whenever they are hit with a
Poison Type attack, they gain a Tick of Hit Points. Defensive."
Poison Heal,"Daily – Free Action
Trigger: The user becomes Poisoned
For the rest of the encounter, while Poisoned or Badly Poisoned, the user gains a Tick of Hit Points at the
beginning of each turn instead of losing any Hit Points from Poison. At the end of the encounter, the user is
cured of the Poison Status. Additionally, the user does not have any Combat Stages lowered from being
Poisoned.Defensive."
Poison Point,"Scene – Free Action
Trigger: The user is hit by a Melee Move
The attacking foe is Poisoned."
Poison Puppeteer,"Poison also inflicts confusion."
Poison Touch,"Static
The Pokémon’s Moves which deal damage Poison Legal Targets on 19+. If a move already has a chance of
Poisoning foes, Poison Touch increases the effect range by +2."
Polinate,"At-Will – Free Action
Trigger: The user uses a Normal-Type or Sound-Type damaging Move
Effect: The Move is changed to be Bug-Type and gains +1 Damage Base."
Pollinate,"Normal-type moves become Bug and get a 1.1x boost."
Poltergeist,"Static
Rotom gains an Ability and a Move depending on what Form it has taken. This Move cannot be forgotten or
replaced in any way
Standard Rotom: Move - Thunder Shock. Ability - Levitate.
Heat Rotom: Move- Overheat. Ability - Levitate.
Wash Rotom: Move - Hydro Pump. Ability - Aqua Boost.
Frost Rotom: Move - Blizzard. Ability - Frostbite.
Fan Rotom: Move - Air Slash. Ability - Keen Eye
Mow Rotom: Move - Leaf Storm. Ability - Grass Pelt.
Bed Light Rotom : Move - Rainbow Beam. Ability - Light Surge
Computer Rotom : Move - Data Drain - Ability - TBD"
Polycephaly,"Static
The user may make Struggle Attacks as a Swift Action. Struggle Attacks made this way are resisted one step
further than they normally would be."
Poseidon's Dominion,"Attacks with Whirlpool on entry."
Powder Burst,"Casts Powder on entry."
Power Alchemy,"Scene - Free Action
An allied Pokemon fainted
Select one of the abilities the allied Pokemon has. The user replaces Power of Alchemy with the chosen ability
for the remainder of the Scene."
Power Construct,"Scene - Free Action
The users Hit Points are at 50% or lower
Keep a separate character sheet for Zygarde Complete Form. When this ability triggers, the user changes to
Complete Form."
Power Core,"The Pokémon uses +20% of its Defense or SpDef during moves."
Power Edge,"Keen Edge moves target Special Defense and get a 1.3x boost."
Power Fists,"Static
Punches do special damage and gain +1DB."
Power Metal,"Sound moves get a 1.2x boost and become Steel if Normal."
Power Spot,"Static
Allied moves gain +1DB as long as user is nearby."
Power of Alchemy,"Transmutes berries on entry. Transmutes items when lost."
Prankster,"Static
The user may use Status Moves as Priority (Advanced)."
Precise Fist,"Static
Punching moves crits on 19+ and effect range is extended by 1."
Predator,"Scene - Free Action
Trigger: The user makes a pokemon or trainer faint
The User recovers 3 Ticks of HP."
Pressure,"Static
While within 3 meters of the user, all foes are Suppressed. This effect ends when the user is Fainted."
Presto,"Sound moves get +1 priority at full HP."
Pretentious,"Dealing a KO raises Crit by one stage."
Pretty Princess,"Static
User's move gain +2DB on target with lowered stats."
Pretty Privilege,"At full HP, gives +1 priority to its Fairy-type moves."
Pride,"Static
While suffering from Burn, Poison, Paralysis, Freezing, or while Asleep, the user’s Special Attack is raised 2
Combat Stages. If suffering from none of these conditions, the user loses any Combat Stages gained this way"
Prim and Proper,"Wonder Skin + Cute Charm."
Primal Armor,"Effect: When the user is hit by a Super-Effective attack, the attack deals x1.25 damage instead of x1.5 damage.
If the user is hit by a Super-Super-Effective attack, the attack deals x1.5 damage instead of x2 damage. And if
the User HP are full resist the attack 1 step further. Defensive"
Primal Maw,"Scence x2
Bitting moves hit twice. 2nd hit does half damage."
Prime Fury,"Scene – Swift Action
The user becomes Enraged, and gains +1 Attack Combat Stage."
Primordial Sea,"Heavy Rain until switched out. Fire-type moves are unusable."
Prism Armor,"Static
The user gains +10 Damage Reduction against Super Effective-Damage for every 25 level of the User.
Defensive."
Prism Scales,"Static
Special Attacks are resisted one step further.Defensive."
Prismatic Fur,"Color Change + Protean + Fur Coat + Ice Scales."
Probability Control,"Scene – Free Action
Target: Any roll made by yourself or an ally.
The user may reroll any roll, or have any ally reroll any roll that has been made. This leaves discoverable
Psychic residue."
Propeller Tail,"Scene – Swift Action
The user may make a Sprint Maneuver as a Free Action
target. Any of those existing effects (such as Follow Me) fail."
Protean,"At-Will – Swift Action
Trigger: The user uses a Move
The user’s Type changes to match the Type of the triggering Move. This Ability resolves before the Move is"
Protosynthesis,"Static
: While in Sunny Weather, the user receives +1 Combat Stage in their highest non-HP stat."
Psionic Screech,"Scene x2 – Free Action
Trigger: The user uses a Flying-Type Move
The Move is changed to be the Psychic Type. Any targets hit by the attack are Flinched."
Psychic Mind,"Static
The user Psychic Moves DB increased by 1"
Psychic Surge,"Scene- Swift Action
The Field becomes Weird, as if affected by the Move Psychic Terrain."
Puffy,"Takes 1/2 dmg from contact moves but Fire moves hurt it 2x more."
Pumpkingrab,"Static
The user gains a +4 bonus to Accuracy Checks of Struggle Attacks made to initiate Grapple, and a +3 Bonus
to Skill Checks made to initiate a Grapple."
Punk Rock,"Static
The user gains +2 DB to moves that have the sound type moves.
The user is immuned to Sound type moves. Defensive."
Pure Blooded,"Static
The user gains Last Chance with Dragon."
Pure Love,"Infatuates on contact. Heal 25% damage vs infatuated."
Pure Power,"Static
The Pokémon’s base attack stat is doubled. This may double any bonuses from Nature or Vitamins, but not
bonuses from Features."
Purest Heart,"Static
This Pokémon resists Ghost Type moves by one more step, may apply their defenses to them normally, and
may intercept attacks for any ally (regardless of Loyalty) as a Shift action.Defensive."
Purgatory,"Boosts Ghost-type moves by 1.3x, or 1.8x when below 1/3 HP."
Purifying Salt,"Static
This Pokémon gains resistance to ghost type moves, it also gains an immunity to all status conditions."
Purifying Waters,"Hydration + Water Veil."
Pyro Shells,"Triggers 50 BP Outburst after using a Mega Launcher move."
Pyroclastic Flow,"Molten Down + Corrosion."
Pyromancy,"Static
Fire moves burns on 19+ if they can already burn increase burning range is extended by 2."
Qigong,"Always hits. Fighting Spirit + Rampage."
Quark Drive,"Static
While in Electric Terrain, the user receives +1 Combat Stage in their highest non-HP stat."
Queen's Mourning,"Lowering any stats on its side raises SpAtk and SpDef."
Queenly Majesty,"Scene x2 – Free Action
Target: An Adjacent Foe
Trigger: An adjacent foe uses a Priority Move or an Interrupt action
Effect: Connection – Stomp. The user may attack the triggering foe with Stomp as a Free Action Interrupt.
Bonus: The user cannot be targeted by Interrupt Moves and Interrupts may not be declared in response to the
user's actions."
Quick Cloak,"At-Will – Standard Action
Burmy quickly builds a cloak out of nearby materials; using leaves and twigs will give it a Grass Plant Cloak,
using sand and rocks will give it a Ground Sandy Cloak, and using trash or scrap will give it a Steel Trash Cloak.
While in a Cloak, Burmy gains the Type associated with the Cloak as a secondary Typing, which will become
permanent upon evolution into Wormadam. Cloaks are destroyed if Burmy is hit for Super-Effective Damage,
or if Burmy makes a new Cloak."
Quick Curl,"Scene – Free Action
Connection - Defense Curl. The user may activate this Ability to use Defense Curl as a Swift Action."
Quick Draw,"Scene – Free Action, Interrupt
Trigger: A foe uses a Move, and the user has not acted this round
The user immediately uses a Move on the triggering foe as a Standard Action Interrupt (this Move must still
obey Frequency and Range). If this Move hits, the foe also gains a -2 penalty to their attack roll for the
triggering attack, unless the foe cannot Flinch.
Bonus: The user cannot be Flinched. Defensive."
Quick Feet,"Static
When Poisoned, Burned, Paralyzed, Frozen or put to Sleep, the user’s Speed is raised 2 Combat Stages. The
user does not lose Speed Combat Stages from Paralysis. If the user is healed all Status Conditions, their Speed
is lowered appropriately."
RKS System,"Scene – Free Action
If the user is hit by a damaging attack, they may calculate damage as if they were Normal-Type instead. If they
were already Normal-Type, they instead resist the damage one step further.
Bonus: The user’s Type changes to match the Type of their held Memory Disc."
Radiance,"Static
User gains +2 to AC Check and umminity to dark type moves. Defensive"
Radiant Beam,"Static
The user may use damaging Grass-Type attacks as if they had a range of 'Line 4' instead of their usual range."
Radio Jam,"Sound-based moves have a 20% chance to inflict disable."
Rage Point,"Gets a 1.5x boost while statused. Raises offenses when crit."
Ragelope,"Static
The user's Physical Attacks gain the following Effect Range: On 18+, the user becomes Enraged and gains +1
Speed CS. If the user is already Enraged, they gain +1 Attack CS instead."
Raging Boxer,"Scence x2
Punch moves hit twice. 2nd hit does half damage."
Raging Goddess,"Rampage + Hyper Aggressive."
Raging Moth,"Fire moves hits twice, both hits at 70% power."
Rain Dish,"Static
While Rainy, the user gains a Tick of Hit Points at the beginning of each of their turns."
Rally,"Scene – Swift Action
All allies within 10 meters may immediately shift 1 Meter in any direction they wish. Rally does not work on
sleeping, flinched, stuck, fainted, or otherwise incapacitated allies. Rally does not work on the user."
Rampage,"Scene
On Ko with move that needs to charge user ignores the drawback of the move (exemple hyper beam)."
Rapid Response,"Boosts Speed by 50% + SpAtk by 20% on first turn."
Rattled,"At-Will – Free Action
Trigger: The user is hit by a Bug, Dark, or Ghost Type Move
The user’s Speed is raised by +1 Combat Stage."
Raw Wood,"Static
Resists Grass type moves one step further, and gain STAB on Grass Type moves and +1 Damage Base."
Razor Edge,"Static
Connection - Poison Tail. The user’s Critical Hit Range on all Moves is increased by +2; any Moves with “Tail” in
their name have their Critical Hit Range increased by +3 instead."
Razor Sharp,"Critical hits also inflict bleeding."
Readied Action,"Doubles attack on first turn."
Receiver,"Special – Free Action
Each effect below may be used once per scene when triggered:
encounter.
the encounter."
Reckless,"Static
Increases the Damage Base of Jump Kick, Hi Jump Kick, and Moves with the Recoil keyword by +2."
Refreshing Veil,"Scene – Free Action
Connection – Aqua Ring. Whenever the user activates Aqua Ring, they may activate this Feature to cure
themselves of all Persistent Status Effects."
Refrigerate,"At-Will – Free Action
Trigger: The user uses a Normal-Type or Sound-Type damaging Move
The Move is changed to be Ice-Type and gains +1 Damage Base."
Refrigerator,"Filter + Illuminate."
Regal Challenge,"Scene – Swift Action
Target: Pokémon or Trainer within 5 Meters
: Make an AC4 Status Attack against the target. If the attack hits, lower the target’s Speed by 1 Combat Stage
and the target is Slowed. If the attack misses, raise the user’s Attack and Special Attack by +1 Combat Stage
each."
Regenerator,"Daily x2 – Free Action
Trigger: The user is recalled into a Poké Ball, or Takes a Breather
The user gains Hit Points equal to 1/3rd of its maximum Hit Points. Regenerator may be activated only once
per Scene."
Regurgitation,"At-Will – Extended Action
: This Pokémon engulfs a willing or helpless Small Pokémon within it. An engulfed target shares this
Pokémon’s space, and may not act or be affected in any way. Once per Scene, this Pokémon may use an At-
Will or EoT Ranged, Close Blast, Line, or Cone Move from the Movelist of the engulfed Pokémon as if it were
on this Pokémon’s Movelist. If this Pokémon Faints, the engulfed Pokémon may escape if it chooses,
appearing in a space adjacent to this Pokémon."
Rejection,"Applies Quash on switch-in."
Relentless,"Exploit Weakness + Merciless"
Reservoir,"Water Absorb + Storm Drain."
Resonance,"Sound moves have a 30% chance to cause bleeding."
Rest in Peace,"Heals 1/8 of max HP every turn in fog."
