Attack Name,Type,Class,Frequency,Range,AC,DB,Effect,Versatile Effect,Attack Tier
Mystic Circle,Fairy,Status,Scene x2,"Burst 2, Healing, Versatile",,,"Create up to a 5x5 Zone centered on the user. Spaces in this Zone are treated as Blessed Terrain and being affected by the Mystical Weather. The user and Allies that start their Turn in this Zone restore a Tick of Hit Points. The user and Allies in this Zone have a +3 Modifier to Save Checks. If the user Faints, this Zone is removed. ","Same as the normal Effects, but the Zone is removed at the end of the next Round. ",Tier 2
Play Rough,Fairy,Physical,EOT,"Melee, 1 Target, Reckless",3,9,"When using Play Rough, the user may choose to become Vulnerable against the next Attack to Target them. If they do, the Target is Vulnerable against this Attack.",--,Tier 2
Pixie Dust,Fairy,Status,Scene x2,"5, Ranged Blast 3",,,"Choose a Mental Affliction. Powder Hazards are set on the spaces in the range of this Attack until the end of the next Round. Whenever an Enemy triggers this Hazard they gain the chosen Affliction.  

Powder Hazard - Whenever an Enemy passes through or ends their turn on a Powder Hazard the Effect listed is applied. Users with the Breathless Capability ignore this Hazard.",,Tier 2
Pungent Aroma,Fairy,Status,Scene x2,"Burst 1, Versatile",5,,"Choose Dazed, Enraged, Entranced or Suppressed. All Targets of this Attack gain that Status Affliction.","Same as the normal Effects, but the Range is changed to Melee, 1 Target.",Tier 2
Snuggle,Fairy,Physical,At-Will,"Melee, 1 Target",3,4,"If the Target is Grappled by the user, they become Entranced while Grappled.",--,Tier 1
Sweet Kiss,Fairy,Status,Scene x2,"6, 1 Target, Social, Versatile",5,,"The Target becomes Dazed or Entranced of your choice. On a Miss, the Target becomes Vulnerable until the end of the Round. Spirit Surge. ","The Target becomes Entranced. When used this way, the Range is changed to Melee, 1 Target",Tier 2
Sparkling Slam,Fairy,Physical,Scene x2,"Melee, 1 Target, Dash, Recoil 1/3",4,12,"If the Dash Keyword is Activated, the Target loses -2 CS in Defense before Damage Calculations.",--,Tier 3
Spellbind,Fairy,Special,EOT,"3, 1 Target",5,8,"On a roll of 17+ or on a Miss, choose one of the following for the Target to be unable to do until the end of the Round. Spirit Surge
■ Restore Hit Points
■ Gain Combat Stages
■ Use Reactions",--,Tier 2
Spirit Break,Fairy,Physical,EOT,"Melee, 1 Target",3,8,"If the Target has a negative CS in any Stat, this has the Sureshot Keyword.",--,Tier 2
Stardust,Fairy,Status,Scene x2,"Field, Versatile, Weather",,,"The Field becomes Stardusted until you Faint. While Stardusted, whenever a Combatant would gain CS, they gain 1 less. Enemies also suffer a -2 to Save Checks. While the Field is Stardusted, you may have the Weather become Mystical. ","Same as the normal Effect, but at the end of the Round, roll a Luck Check and on a 10 or less, the Field is no longer affected by this Attack.",Tier 2
Starfall,Fairy,Special,Scene x2,"8, Ranged Blast 2, Full Action",5,10,"On a roll of 15+, the Target lose -2 CS in Special Defense. If the Weather is Mystical, Starfall has the Smite Keyword.",--,Tier 3
Starlight Spark,Fairy,Special,Scene,"Line 6, Full Action, Reckless",6,15,"If there is no Mystical Weather on the Field, the user becomes Suppressed after Damage Calculations. Smite, Spirit Surge",--,Tier 3
Star Slash,Fairy,Physical,EOT,"Melee, Pass",4,5,"If this Attack only has one Target, it has the Sureshot Keyword.",--,Tier 1
Star Strike,Fairy,Special,EOT,"6, 1 Target ",3,6,"If the Weather is Mystical, Star Strike becomes a Ranged Blast 2 Attack and gains the Friendly Keyword.",--,Tier 1
Strange Steam,Fairy,Special,Scene x2,Burst 1 or Line 4,5,8,"On a roll of 17+, the Target becomes Burned or Dazed.",--,Tier 2
Sweet Splash,Fairy,Special,EOT,"8, 1 Target",4,8,"If the Target is Entranced or Poisoned, Sweet Splash ignores Damage Reduction and cannot be Resisted. Smite",--,Tier 2
Wish,Fairy,Status,Scene x2,"10, 1 Target or Self; Coat, Healing",,,"The Target gains a Wish Coat. The Coat may be expended as a Full Action by them to have the user restore 5 Ticks of Hit Points and become cured of all Status Afflictions. If a Combatant with a Wish Coat would faint while they have at least 10% Max HP, the Coat is expended and they are set to 1 Hit Point.",--,Tier 2
Adrenaline Boost,Fighting,Status,Scene x2,"Self, Versatile",,,This Attack may be used even if the user is Enraged. Choose 2 different Effects to apply. The user gains +2 CS in Attack. The user gains +2 CS in Speed. The user gains +2 Crit Range. The user gains 2 Ticks of Temporary Hit Points.,"Choose Attack, Defense or Speed to gain +1 CS in. This Attack may be used even if the user is Enraged.",Tier 2
Arm Thrust,Fighting,Physical,EOT,"Melee, 1 Target",4,4,"If Arm Thrust hits at least 4 times, the Target becomes Vulnerable for the rest of the Round. Five Strike",--,Tier 1
Aura Blast,Fighting,Special,EOT,"6, Ranged Blast 2, Aura",5,5,This Attack may also be used as a Full Action to treat the Range as if it were Close Blast 3 or as if it had the Smite Keyword.,--,Tier 1
Aura Burst,Fighting,Special,Scene,"Burst 1, Set-Up, Aura",6,10,"Charge Effect: If you used an Aura or Self Attack this Round, gain 2 Charge Tokens instead. 
Resolution Effect: For every Charge Token expended you may either increase the Burst by +1, the DB by +2 or the AC by -1. If the Burst is 3 or higher, this has the Recoil 1/2  Keyword. ",--,Tier 2
Aura Sphere,Fighting,Special,EOT,"8, 1 Target, Set-Up, Aura",4,8,"Charge Effect: If you used an Aura or Self Attack this Round, gain 2 Charge Tokens instead. 
Resolution Effect: This Attack may ignore the Set-Up Keyword if desired and be used without expending Charge Tokens. This Attack has a +1 bonus to Crit Range for each Charge Token expended. If you expend at least 3 Charge Tokens, this has the Sureshot Keyword.",--,Tier 2
Aura Tempest,Fighting,Status,Scene x2,"Field, Versatile",,,"The Field becomes Aurized for the next 5 Rounds. While the Field is Aurized, non Fighting Type Enemies lose a Tick of Hit Points at the start of their Turn and Fighting Type Pokemon gain a Tick of Temporary Hit Points at the start of their Turn.","Same as the normal Effect, but at the end of the Round, roll a Luck Check and on a 10 or less, the Field is no longer affected by this Attack.",Tier 2
Axe Kick,Fighting,Physical,Scene x2,"Melee, 1 Target, Reckless",3,12,"If Axe Kick misses, the user loses Hit Points equal to 1/4th of their Max Hit Points. On a roll of 15+, the Target becomes Dazed. A failure to hit due to an Attack with the Shield keyword does not count as a miss. ",--,Tier 3
Body Press,Fighting,Physical,EOT,"Melee, 1 Target",3,8,The user may use their Defense as the Offensive Stat for this Attack instead of Attack.,--,Tier 2
Brick Break,Fighting,Physical,EOT,"Melee, 1 Target",3,8,"Blessings cannot be Activated in response to Brick Break. On a roll of 15+, destroy a Coat the Target has applied to them.",--,Tier 2
Bulk Up,Fighting,Status,EOT,"Self, Versatile",,,Choose two different Effects to apply to the user: The user gains +2 CS in Attack. The user gains +2 CS in Defense. The user is cured of a Physical Affliction,The user gains 1 Tick of Temporary Hit Points.,Tier 1
Chakra Block,Fighting,Status,Scene x2,"Melee, Trigger, Aura",6,,"Chakra Block may be used as an Reaction when an Adjacent Enemy would gain CS. They don't gain the triggering CS. If the Attack would hit, they also become Suppressed. Spirit Surge",--,Tier 2
Circle Throw,Fighting,Physical,At-Will,"Melee, 1 Target",2,6,"If the user's Power Value is higher than the Target's Weight Class, they may Slide the Target a number of meters equal to or less than the difference. ",--,Tier 1
Close Combat,Fighting,Physical,Scene x2,"Melee, 1 Target",4,12,The Target cannot apply Speed Evasion against Close Combat.,--,Tier 3
Coaching,Fighting,Status,EOT,"Melee, 1 Target, Full Action, Versatile",,,The Target gains +2 CS in a Stat of your Choice and +2 to their next Accuracy or Save Check of your choice.,"The Target gains +1 CS in a Stat of your Choice. When used this way, Coaching is not a Full Action.",Tier 1
Concentration,Fighting,Status,EOT,"Self, Versatile",,,"Choose one of the following Effects. You pass your next Save Check, then gain +2 to Save Checks for the rest of the Scene. Your next Damaging Attack has the Sureshot Keyword, then gain +2 Accuracy.","Choose Accuracy or Save Checks. The next time you perform the chosen roll, roll it twice, taking the higher result.",Tier 1
Counter,Fighting,Physical,Scene x2,"Melee, 1 Target, Trigger",,,"Counter can only be used as a Standard Action + Reaction whenever you’re hit with a Damaging Physical Attack from an Enemy in Range. After the Triggering Attack is resolved, if the user isn’t Fainted, perform this Attack against the Triggering Enemy. The Damage Base is equal to the Triggering Attack’s DB plus double your Tier Level. Sureshot",--,Tier 2
Cross Chop,Fighting,Physical,Scene x2,"Melee, 1 Target",3,10,Cross Chop is a Critical Hit on a roll of 17+. Smite.,--,Tier 3
Detect,Fighting,Status,Scene x2,"4, 1 Target, Priority, Swift Action, Aura",,,Detect must be used at the start of the Round. The Target is Marked with a Detect Mark until the start of the next Round. You are Provoked by any Enemy with your Detect Mark. You resist Attacks derrived from enemies with your Detect Mark by an additional Damage step and you have a Boon to any Skill Checks opposed by them. Sureshot,--,Tier 2
Double Kick,Fighting,Physical,At-Will,"Melee, 1 Target",3,3,Double Strike.,--,Tier 1
Drain Punch,Fighting,Physical,Scene x2,"Melee, 1 Target, Punch",4,8,Drain.,--,Tier 2
Dynamic Punch,Fighting,Physical,EOT,"Melee, 1 Target, Punch, Reckless",4,10,"Targets hit by this Attack becomes Dazed. If the user misses this Attack, they become Dazed. Smite. Spirit Surge",--,Tier 3
Flying Press,Fighting,Physical,EOT,"Melee, Dash, 1 Target",4,9,"When the Dash Keyword is Activated, Flying Press has the Smite Keyword and may deal Flying Type damage if the user wishes. ",--,Tier 2
Focus Blast,Fighting,Special,Scene x2,"6, 1 Target, Aura",5,12,"If the Target has Negative CS in Special Defense, they cannot apply Evasion against this Attack. Smite",--,Tier 3
Focus Punch,Fighting,Physical,Scene x2,"Melee, 1 Target, Set-Up, Aura, Punch",,13,"Charge Effect: This can only be used as a Swift Action, Priority at the start of the Round. If you use this effect, you can only take your Turn at the end of the Round unless you lose this Charge Token. If you’re hit by a Damaging Attack, you lose this Charge Token unless you pass a CR 4 Focus Check.
Resolution Effect: Focus Punch is a Critical Hit on a 17+. Sureshot.",--,Tier 3
Force Bullet,Fighting,Special,At-Will,"6, 1 Target, Aura",3,4,"If the Target has no Combatants that are Adjacent to them, they cannot apply Evasion against this Attack. ",--,Tier 1
Force Palm,Fighting,Physical,At-Will,"Melee, 1 Target",2,6,"On a roll of 18+, the Target becomes Paralyzed. This may also be used as if it were a Special Category Attack. ",--,Tier 1
Hammer Arm,Fighting,Physical,EOT,"Melee, 1 Target, Recoil 1/3, Reckless, Punch",4,11,"If the Target is smaller than the user, this has the Sureshot Keyword.",--,Tier 3
High Jump Kick,Fighting,Physical,EOT,"Melee, Dash, 1 Target, Recoil 1/3, Reckless",4,12,"If the Dash Keyword is Activated, the Recoil Keyword is ignored. If this Attack misses, the user loses a Tick of Hit Points. Smite",--,Tier 3
Intense Aura,Fighting,Status,Scene x2,"Blessing, Aura, Versatile",,,"Blessing - Any user affected by Intense Aura may activate it as a Free Action when using a Fighting Type Damaging Attack to grant it the Smite Keyword. If the Attack hits, it hits, it is also increased by one damage step. (Max 1.5x Effectiveness). Intense Aura may be Activated 3 times and then disappears. ","Same as the normal Effect, but it only has 1 Activation.",Tier 2
Jump Kick,Fighting,Physical,At-Will,"Melee, 1 Target, Dash",3,10,"If the Dash Keyword is not Activated, this Attack's DB is 6 instead. ",--,Tier 2
Karate Chop,Fighting,Physical,At-Will,"Melee, 1 Target",2,5,Karate Chop is a Critical Hit on a roll of 17+.,--,Tier 1
Lotus Palm,Fighting,Physical,EOT,"Melee, 1 Target",2,6,"If the Target has a Physical Affliction, they have a -2 Penalty to Save Checks until the end of their next Turn.",--,Tier 1
Low Kick,Fighting,Physical,EOT,"Melee, 1 Target ",3,,"On a roll of 17+, the Target is Tripped. Low Kick's Damage Base is equal to 3 plus the Target's Weight Class Value. ",--,Tier 2
Low Sweep,Fighting,Physical,EOT,"Melee, 1 Target",2,6,"On a roll of 17+, the Target is Tripped. If the Target is Slowed or has Negative Speed CS, this Effect Range automatically triggers.",--,Tier 1
Mach Punch,Fighting,Physical,At-Will,"Melee, 1 Target, Priority, Punch",2,4,--,--,Tier 1
Mat Block,Fighting,Status,Scene x2,"Self, Trigger, Shield",,,"If the user or an adjacent ally is hit by a damaging attack, the user may use Mat Block as a Standard Action + Reaction. The attack instead does not hit any Targets, and it deals no damage and has no effects. The user must be adjacent to Cover or Blocking Terrain in order to use this Attack. ",--,Tier 2
Megaton Shove,Fighting,Physical,EOT,"Melee, 1 Target",3,8,"The Target is Tripped on a roll of 18+. When declaring Megaton Shove you may increase the AC by up to +5. If the Target is hit, they Slide X (Away), where X is the amount of AC increased. Smite. Spirit Surge",--,Tier 2
Meteor Assault,Fighting,Physical,Scene,"Melee, Pass, Set-Up, Reckless",,13,"Charge Effect: No Effect.
Resolution Effect: Unless at least 3 Charge Tokens were expended, the user becomes Vulnerable for the rest of the Scene and Slowed. Sureshot.",--,Tier 3
No Retreat,Fighting,Status,Scene,"Self, Coat",,,"The user gains a Bravery Coat. While the user has a Bravery Coat, at the end of their Turn they gain +1 CS in a Stat of their choice, they gain a Tick of Temporary Hit Points and they restore a Tick of Hit Points. While the user has a Bravery Coat they cannot be recalled.",--,Tier 3
Octolock,Fighting,Status,Scene,"Melee, 1 Target",3,,"The user initiates a Grapple Maneuver with the Target, which automatically hits. If successful, until the user no longer has Dominance in the grapple, the Target is Trapped and loses -1 CS in Defense and Special Defense at the end of each of their turns.",--,Tier 3
Power-Up Punch,Fighting,Physical,EOT,"Melee, 1 Target, Full Action, Punch",3,5,The user gains +1 CS in Attack. Spirit Surge,--,Tier 1
Pressure Point,Fighting,Special,EOT,"Melee, 1 Target",3,8,"On a roll of 17+, the Target becomes Weakened until the end of their next Turn. A Combatant can only be Weakened this way once per Scene.",--,Tier 2
Quick Guard,Fighting,Status,Scene x2,"Self, Shield, Trigger",,,"If an adjacent ally is hit by a 1-Target Attack, Quick Guard may be declared as a Swift Action + Reaction, causing the triggering attack to hit you instead. You may use your Speed Stat instead of the relevant Defense Stat when calculating damage.",--,Tier 2
Raging Bull,Fighting,Physical,EOT,"Melee, Pass or all Adjacent Enemies",5,9,"The Target cannot use Attacks with the Shield Keyword as a response to this Attack. If the user is Enraged, Raging Bull has the Smite Keyword.",--,Tier 2
Revenge,Fighting,Physical,EOT,"Melee, 1 Target",4,6,"If the Target hit the user with an Attack since the user's last turn, Revenge instead has a Damage Base of 12.",--,Tier 2
Reversal,Fighting,Physical,EOT,"Melee, 1 Target",3,7,"If the user has less than 50% of their Maximum Hit Points, Reversal has the Sureshot Keyword and is a Critical Hit on a roll of 17+. ",--,Tier 1
Rock Smash,Fighting,Physical,At-Will,"Melee, 1 Target",2,4,"On a roll of 15+ the Target loses -1 CS in Defense. If the Target’s highest stat is Defense, they instead lose -2 CS in Defense. ",--,Tier 1
Rolling Kick,Fighting,Physical,At-Will,"Melee, 1 Target, Dash",2,6,"If the Dash Keyword is Activated, this has the Smite Keyword and ignores Physical Evasion.",--,Tier 1
Sacred Sword,Fighting,Physical,EOT,"Melee, 1 Target",,8,Sureshot.,--,Tier 2
Seismic Toss,Fighting,Status,Scene x2,"Melee, 1 Target, Versatile",3,,"The Target becomes Tripped. For each Size Category you are larger than the Target, add +2 to the Slide Keyword. Slide 4 (Away)","You may use a Trip Maneuver against the Target as a Free Action. If they are Tripped this way, you may Slide them into any space that is Adjacent to you.",Tier 2
Sky Uppercut,Fighting,Physical,EOT,"Melee, 1 Target, Punch",3,9,Sky Uppercut has the Sureshot Keyword against any Target with the Flier Capability.,--,Tier 2
Storm Throw,Fighting,Physical,EOT,"Melee, 1 Target",5,6,"If Storm Throw hits, it is a Critical Hit. Smite",--,Tier 1
Submission,Fighting,Physical,EOT,"Melee, 1 Target, Recoil 1/3",4,8,"If Submission hits a Target smaller than the user, they may initiate a Grapple Maneuver against the Target as a Free Action.",--,Tier 2
Superpower,Fighting,Physical,Scene x2,"Melee, 1 Target, Reckless",3,13,"After Damage Calculations, lower the Offensive Stat used for this Attack by -2 CS. Smite",--,Tier 3
Triple Arrow,Fighting,Physical,Scene x2,"4, 1 Target; or 6, 2 Targets; or 8, 3 Targets",7,4,"On a roll of 15+, the Target(s) lose -1 CS in Defense.If Triple Arrow has 1 Target, it has the Five Strike Keyword. If it has 2 Targets, it has the Double Strike and Full Action Keyword. If it has 3 Targets, it has the Full Action Keyword.",--,Tier 2
Triple Kick,Fighting,Physical,EOT,"Melee, 1 Target",5,6,"After attacking with Triple Kick, hit or miss, the user may Disengage 2m and attack a different Target with Triple Kick. This effect may be repeated a second time, Targeting a combatant that has not been Targeted by either prior attack. Before making each attack roll, the user may choose to not trigger all remaining additional shifts and attacks. Triple Kick gains +1 Accuracy and +1 DB for each Attack that is given up. Triple Kick always benefits from the Technician Ability.",--,Tier 2
Vacuum Wave,Fighting,Special,At-Will,"4, 1 Target, Priority, Aura",3,4,--,--,Tier 1
Victory Dance,Fighting,Status,Scene,"Self, Trigger",,,"Upon an Enemy fainting, Victory Dance may be used as a Standard Action + Reaction. The user gains a Victory Coat and +1 CS in a Stat of their choice. The user may expend a Victory Coat when successfully hitting a Fighting Damaging Attack to add its Damage Dice an extra time to the Damage Roll. This applies after any other Damage Base Modifiers such as a Critical Hit. 
Note: If the Damage Base would have the Attack be 2d6+8, this expended Coat turns it into 4d6+16.",--,Tier 2
Vital Throw,Fighting,Physical,EOT,"Melee, 1 Target, Trigger",,7,"Vital Throw can only be used as a Standard Action + Reaction when the user is hit with a Melee Attack. This resolves after the Triggering Attack. Slide 2 (Away), Sureshot.",--,Tier 1
Wake-Up Slap,Fighting,Physical,At-Will,"Melee, 1 Target",3,6,"If the Target is Drowsy, the Damage Base for this Attack becomes 12, then it becomes a Critical Hit. After Damage Calculations the Target is cured of the Drowsy Affliction.",--,Tier 2
Armor Cannon,Fire,Special,Scene x2,"8, 1 Target",5,12,"On a roll of 18+, the Target becomes Burned. If the Target has no Adjacent Allies, this Effect Range is extended by +2",--,Tier 3
Bitter Blade,Fire,Physical,Scene x2,"Melee, Pass ",6,9,This has the Drain Keyword against Targets who are Suppressed or Cursed. Smite,--,Tier 2
Blast Burn,Fire,Special,Scene,"Close Blast 3, Full Action ",8,15,"All Targets hit by Blast Burn become Burned. Blast Burn created Fire Hazards in all Spaces within the Range of this Attack. Smite, Spirit Surge

Fire Hazards - Any Combatant who ends their turn on or moves through a Fire Hazard becomes Burned. Ground and Rock Type Pokemon  are immune to Fire Hazards and destroy them when Moving through them. Ground, Rock, and Water Type Attacks that affect these Spaces also destroy these Hazards. ",--,Tier 3
Blaze Kick,Fire,Physical,EOT,"Melee, 1 Target, Dash",3,9,"Blaze Kick is a Critical Hit on a roll of 18+. If the Dash Keyword is Activated, the Target is Burned.",--,Tier 2
Blazing Sun,Fire,Status,Scene x2,"Field, Versatile, Weather",,,"The Field becomes Blazing for the next 5 Rounds. While the Field is Blazing, non Fire Type Enemies lose a Tick of Hit Points at the start of their Turn and Fire Type Pokemon gain a Tick of Temporary Hit Points at the start of their Turn. While the Field is Blazing, the Weather becomes Sunny.","Same as the normal Effect, but at the end of the Round, roll a Luck Check and on a 10 or less, the Field is no longer affected by this Attack.",Tier 2
Burning Jealousy,Fire,Special,Scene x2,Burst 1,6,8,"If a Target of this Attack had their Combat Stages raised since the user's last turn, they become Burned. Spirit Surge.",--,Tier 2
Burn Up,Fire,Special,Scene x2,"Burst 1, Full Action ",7,13,"Until the end of the encounter, the user loses its Fire Type (Pure Fire Types become Normal Type). The user may cure themselves of the Burned Affliction and if they do, Burn Up is a Critical Hit and the user regains its Fire Type. Smite. Spirit Surge.",--,Tier 3
Cleansing Flames,Fire,Special,Scene x2,"6, Ranged Blast 2",5,7,All Targets have all Physical Afflictions removed except for Burn. Any Targets that have an Affliction removed this way take one step more damage from Cleansing Flames. Allies within the range of Cleansing Flames take no damage from this Attack. ,--,Tier 2
Ember,Fire,Special,At-Will,"4, 1 Target or Close Blast 2",3,4,"On a roll of 18+, the Target becomes Burned. If this is used with the Close Blast Range, the AC is increased by +2.",--,Tier 1
Eruption,Fire,Special,Scene,"10, Ranged Blast 3, Set-Up",5,8,"Charge Effect: While the user has Eruption Charge Tokens, Combatants Adjacent to the user are Burned whenever the user is hit by an Attack.
Resolution Effect: All Targets become Burned on an 18+. For each Charge Token expended, increase the DB by +2 and this Effect Range by +1. Smite",--,Tier 2
Explosive Punch,Fire,Physical,Scene,"Melee, 1 Target, Punch, Recoil 1/3",6,12,Explosive Punch is a Critical Hit on a roll of 17+. Explosive Punch also Targets all Enemies that are Adjacent to the Target. Smite,--,Tier 3
Fiery Dance,Fire,Special,Scene x2,"3, 3 Targets, Full Action + Movement Action",7,7,"On a roll of 17+, the Target becomes Burned. If you only choose two Targets, all hit Targets become Burned. If you only choose one, all Targets become Burned and this has the Sureshot Keyword.",--,Tier 2
Fire Blast,Fire,Special,Scene x2,"6, 1 Target; or Close Blast 2, Full Action",6,11,"On a roll of 17+, the Target becomes Burned. If the Weather is Sunny, Targets cannot apply Special Defense Evasion against this Attack. Smite",--,Tier 3
Fire Claw,Fire,Physical,At-Will,"Melee, Pass",4,4,"On a roll of 17+, the Target becomes Burned.  ",--,Tier 1
Fire Fang,Fire,Physical,At-Will,"Melee, 1 Target, Bite",2,7,"On a roll of 17+, Roll a 1d2. On a 1, the Target becomes Burned. On a 2, the Target becomes Wounded.",--,Tier 1
Fire Lash,Fire,Physical,EOT,"2, 1 Target",3,8,"The Target loses -1 CS in Defense. If the Target is Burned or the Weather is Sunny, they instead lose -2 CS in Defense.",--,Tier 2
Fire Pledge,Fire,Special,Scene x2,"6, 1 Target",4,8,"If an Ally has used a Fire Type Attack since your last turn, this Attack can instead used as a 6, Ranged Blast 3, Full Action, Smite Range, burns on a roll of 15+ and creates Fire Hazards in all Spaces within the Range of this Attack.

Fire Hazards - Any Combatant who ends their turn on or moves through a Fire Hazard becomes Burned. Ground and Rock Type Pokemon  are immune to Fire Hazards and destroy them when Moving through them. Ground, Rock, and Water Type Attacks that affect these Spaces also destroy these Hazards.",--,Tier 2
Fire Punch,Fire,Physical,At-Will,"Melee, 1 Target, Punch",3,8,"On a roll of 17+, the Target becomes Burned.  ",--,Tier 2
Fire Spin,Fire,Special,Scene x2,"4, Ranged Blast 2",5,6,"After this Attack resolves, create a Zone within the Range of the Attack. If any Combatant enters the Zone or leaves the Zone, they become Burned. Unless the Weather is Sunny, this Zone lasts until you use a Reaction, use an Attack or Faint. Spirit Surge",--,Tier 2
Firestorm,Fire,Physical,Scene x2,"8, Ranged Blast 3, Full Action",6,11,"On a roll of 16+, all Targets become Burned. If the Weather is Sunny this has the Smite Keyword. If a Target is Burned, they cannot apply Evasion against this Attack. ",--,Tier 3
Fire Wall,Fire,Status,Scene x2,"6, Hazard, Versatile",,,"Choose 8 Spaces within the Range of this Attack to create Fire Hazards in, such that all 8 Spaces are Adjacent to at least one other Fire Hazard.

Fire Hazards - Any Combatant who ends their turn on or moves through a Fire Hazard becomes Burned. Ground and Rock Type Pokemon  are immune to Fire Hazards and destroy them when Moving through them. Ground, Rock, and Water Type Attacks that affect these Spaces also destroy these Hazards.","Same as the normal Effects, but you can only choose 4 Spaces and they must be unoccupied.",Tier 2
Flame Barrage,Fire,Special,Scene x2,"8, 1 Target; or 8, 2 Targets",6,6,"On a roll of 17+, all Targets become Burned. If Flame Barrage has 1 Target, it has the Double Strike Keyword. Smite",--,Tier 2
Flame Burst,Fire,Special,EOT,"6, 1 Target; or Burst 1, Full Action",4,7,"You may originate this Attack from a Burned Combatant within 5m instead of the user. If Flame Burst is performed this way, all Targets are considered Vulnerable against it. ",--,Tier 1
Flame Charge,Fire,Physical,At-Will,"Melee, 1 Target, Dash",2,5,"On a roll of 17+, the Target becomes Burned. If the Dash Keyword is Activated, this Effect Range automatically triggers.",--,Tier 1
Flame Rush,Fire,Physical,At-Will,"Melee, 1 Target, Dash, Recoil 1/3",2,9,"Flame Rush Burns the Target on a roll of 18+. If the Dash Keyword is Activated, the Recoil Keyword is ignored.",--,Tier 2
Flame Wheel,Fire,Physical,At-Will,"Melee, 1 Target, Dash",2,6,"On a roll of 17+, the Target becomes Burned. If the Dash Keyword is Activated, Flame Wheel has the Pass Keyword.",--,Tier 1
Flamethrower,Fire,Special,EOT,"6, 1 Target or Line 3, Full Action",5,9,"On a roll of 18+, the Target becomes Burned. If this Attack only has one Target, this has the Smite Keyword.",--,Tier 2
Flaming Dash,Fire,Physical,EOT,"Melee, 1 Target, Dash",3,8,"If the Dash Keyword is Activated, all spaces the user moves through have Fire Hazards created on them.

Fire Hazards - Any Combatant who ends their turn on or moves through a Fire Hazard becomes Burned. Ground and Rock Type Pokemon  are immune to Fire Hazards and destroy them when Moving through them. Ground, Rock, and Water Type Attacks that affect these Spaces also destroy these Hazards. ",--,Tier 2
Flare Blitz,Fire,Physical,Scene x2,"Melee, 1 Target, Dash, Reckless, Recoil 1/3",3,12,"Flare Blitz Burns the Target on a roll of 17+. If the Dash Keyword is Activated, both the user and the Target become Burned on a hit. This bypasses Fire Type Immunity to the Burned Affliction.",--,Tier 3
Heat Crash,Fire,Physical,EOT,"Melee, 1 Target, Dash",3,4,"For each Weight Class the user is above the Target, increase Heat Crash’s Damage Base by +2, or +3 if the Dash Keyword was Activated. ",--,Tier 2
Heat Wave,Fire,Special,Scene x2,Close Blast 3 or Burst 1; Full Action,7,10,"On a roll of 18+, all Targets become Burned. If the Weather is Sunny, this Effect Range automatically triggers. Smite",--,Tier 3
Heat Veil,Fire,Status,Scene x2,"4, 1 Target or Self; Coat, Versatile",,,"The Target gains a Heated Coat. While affected by a Heated Coat, the Combatant treats Water and Ice Type Attacks as if they were resisted, ignoring their Type Effectiveness. In addition, while affected by a Heated Coat, the Weather is considered to be Sunny for any of their Attacks, Features or Abilities that would Reference it. After the user is hit by a Water or Ice Type Attack, this Coat is expended.","Same as the normal Effects, however you don't treat Water and Ice Type Attacks as if they were Resisted.",Tier 2
Hellfire,Fire,Special,Scene x2,"8, 1 Target ",6,10,"When this Attack hits, Hellfire burns the Target. On a miss, the Target is Suppressed. Hellfire may be used as a Full Action to be treated as if it were a Dark Type Attack. Spirit Surge.",--,Tier 3
Ignition,Fire,Special,Scene x2,"6, 1 Target",3,8,"If a Target hit by this Attack is Burned, you may cure them of the Affliction. If they are cured this way, they lose three Ticks of Hit Points.",--,Tier 2
Incinerate,Fire,Special,At-Will,Line 3,5,5,"On a Roll of 17+ or if the Target is Burned, you may destroy a Coat they're affected by.",--,Tier 1
Inferno,Fire,Special,At-Will,"10, 1 Target",5,10,Inferno Burns the Target. Inferno treats the Target as Vulnerable if there are no Combatants or Blocking Terrain adjacent to them or if the Weather is Sunny.,--,Tier 3
Kindle,Fire,Status,EOT,"Self, Versatile",,,"The user gains a Kindled Coat. The user may expend a Kindled Coat when successfully hitting an Fire Damaging Attack to add its Damage Dice an extra time to the Damage Roll. This applies after any other Damage Base Modifiers such as a Critical Hit. 
Note: If the Damage Base would have the Attack be 2d6+8, this expended Coat turns it into 4d6+16. ",The user's next Fire Type Damaging Attack adds +2 to its Damage Base and has the Smite Keyword.,Tier 2
Lava Armor,Fire,Status,Scene,"Self, Coat, Versatile",,,"The user gains a Molten Coat. While the user is affected by a Molten Coat, whenever a Melee Attack hits them, the Attacker become Burned. The Molten Coat can be expended as a Reaction to resist a Physical Attack by an additional Damage step. It also can be expended when the user hits a Physical Fire Type Attack to cause all Targets to become Burned. ","The user gains a Molten Coat until the start of their next Turn. It cannot be expended through listed means. When used this way, Lava Armor's Frequency is not expended. ",Tier 3
Lava Plume,Fire,Special,EOT,Burst 1 ,6,8,"On a roll of 18+, all Targets become Burned. This Attack may also be used as a Full Action to treat its Range as Burst 2. Smite",--,Tier 2
Mind Blown,Fire,Special,Scene,"6, Ranged Blast 5, Full Action",8,15,The Target in the center of Mind Blown's Range resists this Attack one less Step. The user loses a Tick of Hit Points per Target hit by this Attack. Smite,--,Tier 3
