Name,Frequency,Base Effect,Trigger,Target,Keywords,Effect
Dire Spore,At-Will - Swift Action,"Connection - Spore. 
Effect: The user creates Spore Hazards withiin a 3, Ranged Blast 2, area. Enemies that move through this Hazard become Paralyzed, Poisoned or Burned, of the user's choice. 
Bonus: Your Grass Type Status Attacks gain a 15+ Effect Range to inflict Poison.",,,,"At-Will - Swift Action
Connection - Spore. 
Effect: The user creates Spore Hazards withiin a 3, Ranged Blast 2, area. Enemies that move through this Hazard become Paralyzed, Poisoned or Burned, of the user's choice. 
Bonus: Your Grass Type Status Attacks gain a 15+ Effect Range to inflict Poison."
Discipline,Scene x2 - Swift Action,Effect: The user is cured of a Status Affliction. This Ability cannot be activated on a Turn the user used a Damaging Attack and the user cannot use a Damaging Attack for the rest of this Turn after activating Discipline.,,,,"Scene x2 - Swift Action
Effect: The user is cured of a Status Affliction. This Ability cannot be activated on a Turn the user used a Damaging Attack and the user cannot use a Damaging Attack for the rest of this Turn after activating Discipline."
Disguise,Scene - Free Action,"Effect: The Triggering Attack is resisted by an additional Step, then the user becomes Enraged.  
Bonus: While Enranged this way, the user has a bonus to Critical Hit Ranges equal to their Tier Level for their Dark and Ghost Type Damaging Attacks. If the user is now longer Enraged, as a Swift Action, the user may restore the Frequency of this Ability.",The user is hit by a Damaging Attack,,Defensive,"Scene - Free Action
Keywords - Defensive
Trigger - The user is hit by a Damaging Attack
Effect: The Triggering Attack is resisted by an additional Step, then the user becomes Enraged.  
Bonus: While Enranged this way, the user has a bonus to Critical Hit Ranges equal to their Tier Level for their Dark and Ghost Type Damaging Attacks. If the user is now longer Enraged, as a Swift Action, the user may restore the Frequency of this Ability."
Dodge,Static,Effect: The user starts the Scene with Dodge Counters equal to their Tier Level. A Dodge Counter can be expended as a Reaction to gain +3 Evasion against an Attack or to treat an Attack as if it didn't have the Smite Keyword. Multiple Counter can be expended against the same Attack if desired and may be done after seeing the Accuracy Roll.,,,Defensive,"Static
Keywords - Defensive
Effect: The user starts the Scene with Dodge Counters equal to their Tier Level. A Dodge Counter can be expended as a Reaction to gain +3 Evasion against an Attack or to treat an Attack as if it didn't have the Smite Keyword. Multiple Counter can be expended against the same Attack if desired and may be done after seeing the Accuracy Roll."
Dream Smoke,Scene - Reaction,"Connection - Smokescreen. 
Effect: The Triggering Enemy becomes Drowsy. 
Bonus: When the user uses Smokescreen, Smoke Hazards created that way also cause Enemies to become Drowsy if they move through it or end their Turn in the Hazard.",The user is hit by an Attack from an Adjacent Enemy,,Defensive,"Scene - Reaction
Keywords - Defensive
Trigger - The user is hit by an Attack from an Adjacent Enemy
Connection - Smokescreen. 
Effect: The Triggering Enemy becomes Drowsy. 
Bonus: When the user uses Smokescreen, Smoke Hazards created that way also cause Enemies to become Drowsy if they move through it or end their Turn in the Hazard."
Drizzle,At-Will - Swift Action,"Effect: The Weather becomes Rainy. 
Bonus: While the Weather is Rainy, the user has a bonus to Save Checks equal to their Tier Level and has a Boon to all Skill Checks while in Combat.",,,,"At-Will - Swift Action
Effect: The Weather becomes Rainy. 
Bonus: While the Weather is Rainy, the user has a bonus to Save Checks equal to their Tier Level and has a Boon to all Skill Checks while in Combat."
Drought,At-Will - Swift Action,"Effect: The Weather becomes Sunny. 
Bonus: While the Weather is Sunny, the user has a bonus to Save Checks equal to their Tier Level and has a Boon to all Skill Checks while in Combat.",,,,"At-Will - Swift Action
Effect: The Weather becomes Sunny. 
Bonus: While the Weather is Sunny, the user has a bonus to Save Checks equal to their Tier Level and has a Boon to all Skill Checks while in Combat."
Drown Out,At-Will - Swift Action,"Effect: The Target gains a penalty to Accuracy equal to your Tier Level until the end of their next Turn. If they fail a Standard CR (2) Focus Check, they instead become Deafened. Deafened is a Physical Status Affliction that has the same Accuracy Penalty while they’re affected by the Affliction. If the user is Tier 3, it becomes a Tough CR (3) Focus Check instead. 
Bonus: The user’s Attacks with the Sonic Keyword gain the Smite Keyword against Enemies that are adjacent to you.  ",The user uses an Attack with the Sonic Keyword,,,"At-Will - Swift Action
Trigger - The user uses an Attack with the Sonic Keyword
Effect: The Target gains a penalty to Accuracy equal to your Tier Level until the end of their next Turn. If they fail a Standard CR (2) Focus Check, they instead become Deafened. Deafened is a Physical Status Affliction that has the same Accuracy Penalty while they’re affected by the Affliction. If the user is Tier 3, it becomes a Tough CR (3) Focus Check instead. 
Bonus: The user’s Attacks with the Sonic Keyword gain the Smite Keyword against Enemies that are adjacent to you.  "
Dusk Body,Scene - Swift Action,"Effect: The user restores two Ticks of Hit Points or gains 2 Ticks of Temporary Hit Points or is cured of a Physical Status Affliction. If the user is in Foggy Weather, the Frequency of Dusk Body isn’t expended. This Ability can only ignore its Frequency twice in a Scene.",,,,"Scene - Swift Action
Effect: The user restores two Ticks of Hit Points or gains 2 Ticks of Temporary Hit Points or is cured of a Physical Status Affliction. If the user is in Foggy Weather, the Frequency of Dusk Body isn’t expended. This Ability can only ignore its Frequency twice in a Scene."
Dust Cloud,Scene x2 - Swift Action,"Connection - Smokescreen. 
Effect: You create Smoke Hazards (Refer to Smokescreen) in a 3x3 Zone, centered on one of the Targets of the Triggering Attack. ","You use a Bug, Ground, Grass or Poison Type Status Attack",,,"Scene x2 - Swift Action
Trigger - You use a Bug, Ground, Grass or Poison Type Status Attack
Connection - Smokescreen. 
Effect: You create Smoke Hazards (Refer to Smokescreen) in a 3x3 Zone, centered on one of the Targets of the Triggering Attack. "
Dusty Guard,At-Will - Swift Action,"Effect: The user gains a Tick of Temporary Hit Points or gains +1 CS in Defense or Special Defense.
Bonus: While the Weather is Sandstorm, Effect Ranges cannot Trigger if the user is a Target. ",The user uses a Ground or Rock Type Attack,,Defensive,"At-Will - Swift Action
Keywords - Defensive
Trigger - The user uses a Ground or Rock Type Attack
Effect: The user gains a Tick of Temporary Hit Points or gains +1 CS in Defense or Special Defense.
Bonus: While the Weather is Sandstorm, Effect Ranges cannot Trigger if the user is a Target. "
Early Bird,Static,Effect: The user may perform Save Checks to cure Afflictions at the start of their Turn instead of at the end (Before any Affliction Effects would occur). All Enemies who haven't acted yet this Round treat the user's Attacks as if they had the Unstoppable Keyword. ,,,,"Static
Effect: The user may perform Save Checks to cure Afflictions at the start of their Turn instead of at the end (Before any Affliction Effects would occur). All Enemies who haven't acted yet this Round treat the user's Attacks as if they had the Unstoppable Keyword. "
Earth Eater,At-Will - Swift Action,"Effect: The Targeted Terrain changes to Basic Terrain. The user then restores two Ticks of Hit Points or gains +1 CS in Defense or Special Defense. The GM may decide if Terrain is able to be changed by this ability or not but not whether or not it can be Targeted. 
Bonus: The user is Immune to Ground Type Attacks. ",,"Rough, Cover or Blocking Terrain that the user is Adjacent to or standing on",Defensive,"At-Will - Swift Action
Keywords - Defensive
Target - Rough, Cover or Blocking Terrain that the user is Adjacent to or standing on
Effect: The Targeted Terrain changes to Basic Terrain. The user then restores two Ticks of Hit Points or gains +1 CS in Defense or Special Defense. The GM may decide if Terrain is able to be changed by this ability or not but not whether or not it can be Targeted. 
Bonus: The user is Immune to Ground Type Attacks. "
Earthen Shell,Scene - Reaction,"Connection - Shell Smash. 
Effect: The user may use Shell Smash as a Free Action, then becomes Enraged.  
Bonus: When the user uses Shell Smash, they may choose to instead increase Defense and Special Defense by +3 CS instead of the attack’s listed stats.",The user falls below 50% Hit Points,,Defensive,"Scene - Reaction
Keywords - Defensive
Trigger - The user falls below 50% Hit Points
Connection - Shell Smash. 
Effect: The user may use Shell Smash as a Free Action, then becomes Enraged.  
Bonus: When the user uses Shell Smash, they may choose to instead increase Defense and Special Defense by +3 CS instead of the attack’s listed stats."
Edged Leaf,Scene - Swift Action,"Effect: Targets hit by the Triggering Attack become Wounded.
Bonus: The user's Physical Melee Attacks have a 17+ Effect Range to inflict Wounded on all Targets. The user's Wounded Effect Ranges (Excluding the one granted by Edged Leaf) are increased by +2.  ",The user hits a Grass Type Melee Attack,,,"Scene - Swift Action
Trigger - The user hits a Grass Type Melee Attack
Effect: Targets hit by the Triggering Attack become Wounded.
Bonus: The user's Physical Melee Attacks have a 17+ Effect Range to inflict Wounded on all Targets. The user's Wounded Effect Ranges (Excluding the one granted by Edged Leaf) are increased by +2.  "
Effect Spore,At-Will - Reaction,"Effect: The Triggering Enemy must pass a Standard CR (2) Athletics Check or else they roll a d3. If the user is Tier 2, it becomes a Tough CR (3) Athletics Check. If the user is Tier 3, they also have a Bane to the Skill Check. When they roll the d3, on a 1, they become Poisoned. On a 2, they become Paralyzed. On a 3, they become Drowsy. ",An Enemy ends their Turn Adjacent to the user or hits them with an Attack while Adjacent to them,,Defensive,"At-Will - Reaction
Keywords - Defensive
Trigger - An Enemy ends their Turn Adjacent to the user or hits them with an Attack while Adjacent to them
Effect: The Triggering Enemy must pass a Standard CR (2) Athletics Check or else they roll a d3. If the user is Tier 2, it becomes a Tough CR (3) Athletics Check. If the user is Tier 3, they also have a Bane to the Skill Check. When they roll the d3, on a 1, they become Poisoned. On a 2, they become Paralyzed. On a 3, they become Drowsy. "
Eggscellence,Static,"Connection - Barrage. 
Effect: When using Barrage or Egg Bomb, the user may use their HP Stat Value (Not Hit Points) as an Offensive Stat. On a 15+, these Attacks deal Damage as if it were one step more effective.",,,,"Static
Connection - Barrage. 
Effect: When using Barrage or Egg Bomb, the user may use their HP Stat Value (Not Hit Points) as an Offensive Stat. On a 15+, these Attacks deal Damage as if it were one step more effective."
Electric Surge,Scene - Swift Action,"Connection - Electric Terrain. 
Effect: You may use Electric Terrain as a Free Action, however it only lasts until the end of the next Round. 
Bonus: At the end of the Round, if the Weather is Thunderstorm, you may use a Reaction to gain +1 CS in a Stat of your choice.",,,,"Scene - Swift Action
Connection - Electric Terrain. 
Effect: You may use Electric Terrain as a Free Action, however it only lasts until the end of the next Round. 
Bonus: At the end of the Round, if the Weather is Thunderstorm, you may use a Reaction to gain +1 CS in a Stat of your choice."
Electrodash,At-Will - Swift Action,"Effect: The Triggering Attack has a 17+ Effect Range to Paralyze all Targets and may be treated as if it were Electric Type. 
Bonus: While the Weather is Thunderstorm, the user has +3 to their Movement Value, cannot be Slowed and cannot trigger Attacks of Opportunity via movement. ",The user uses a Dash Attack,,,"At-Will - Swift Action
Trigger - The user uses a Dash Attack
Effect: The Triggering Attack has a 17+ Effect Range to Paralyze all Targets and may be treated as if it were Electric Type. 
Bonus: While the Weather is Thunderstorm, the user has +3 to their Movement Value, cannot be Slowed and cannot trigger Attacks of Opportunity via movement. "
Electromorphosis,At-Will - Reaction,"Effect: After Damage Resolution, note the amount of Damage taken by the user. This noted number is halved (Rounded Up) and added as Plasma Counters. 
Bonus: As a Swift Action when hitting an Electric Type Damaging Attack, you may expend any number of Plasma Counters the user has and add that as a Damage Modifier to the Attack’s Damage Calculations.",The user is hit by a Melee or Physical Attack,,Defensive,"At-Will - Reaction
Keywords - Defensive
Trigger - The user is hit by a Melee or Physical Attack
Effect: After Damage Resolution, note the amount of Damage taken by the user. This noted number is halved (Rounded Up) and added as Plasma Counters. 
Bonus: As a Swift Action when hitting an Electric Type Damaging Attack, you may expend any number of Plasma Counters the user has and add that as a Damage Modifier to the Attack’s Damage Calculations."
Emperor's Ego,Scene x2 - Reaction,"Effect: The user gains +2 CS in a Stat of their Choice
Bonus: The user's Damaging Attacks are always treated as Super Effective against Ice Type Pokemon, ignoring Type Effectiveness. ",The user gains a Mental Affliction,,,"Scene x2 - Reaction
Trigger - The user gains a Mental Affliction
Effect: The user gains +2 CS in a Stat of their Choice
Bonus: The user's Damaging Attacks are always treated as Super Effective against Ice Type Pokemon, ignoring Type Effectiveness. "
Enduring Rage,At-Will - Reaction,"Effect: The user becomes Enraged.  
Bonus: While the user is Enraged, they faint when they reach -25% of their Maximum Hit Points instead of 0. While the user is Enraged, they gain Damage Reduction equal to their Tier Value.  ",The user drops below 50% Hit Points or is hit by a Critical Hit,,,"At-Will - Reaction
Trigger - The user drops below 50% Hit Points or is hit by a Critical Hit
Effect: The user becomes Enraged.  
Bonus: While the user is Enraged, they faint when they reach -25% of their Maximum Hit Points instead of 0. While the user is Enraged, they gain Damage Reduction equal to their Tier Value.  "
Energy Leech,Scene x2 - Swift Action,"Effect: The Triggering Attack is treated as having the Drain Keyword. The user then becomes Slowed. If the user is at Maximum Hit Points when Energy Leech is used, one Target that was hit by the Triggering Attack loses -2 CS in a chosen Stat, then the user gains +2 CS in the same Stat. ",The user hits an Attack on an Adjacent Enemy,,,"Scene x2 - Swift Action
Trigger - The user hits an Attack on an Adjacent Enemy
Effect: The Triggering Attack is treated as having the Drain Keyword. The user then becomes Slowed. If the user is at Maximum Hit Points when Energy Leech is used, one Target that was hit by the Triggering Attack loses -2 CS in a chosen Stat, then the user gains +2 CS in the same Stat. "
Enfeebling Lips,Static,"Connection - Lovely Kiss. 
Effect: Choose a Stat. If the Triggering Attack hit, the Stat will be lowered by -1 CS. If the Attack was Status Category, it is instead lowered by -2 CS on a hit or -1 CS on a Miss. CS can only be lowered by this Ability once per Round. ",The user performs a Melee Attack or uses Lovely Kiss,,,"Static
Trigger - The user performs a Melee Attack or uses Lovely Kiss
Connection - Lovely Kiss. 
Effect: Choose a Stat. If the Triggering Attack hit, the Stat will be lowered by -1 CS. If the Attack was Status Category, it is instead lowered by -2 CS on a hit or -1 CS on a Miss. CS can only be lowered by this Ability once per Round. "
Fabulous Trim,Static,"Effect: Furfrou’s Ability depends on its current Hairstyle. It’s hairstyle may be changed as an Extended Action by someone with expertise in pokemon grooming such as a hair parlor. 

Dandy Trim - Analytic
Debutante Trim - Rally
Diamond Trim - Defiant
Heart Trim - Beautiful
Kabuki Trim - Inner Focus
La Reine Trim - Intimidate
Matron Trim - Friend Guard
Pharoah Trim - Regal Challenge
Star Trim - Run Away",,,,"Static
Effect: Furfrou’s Ability depends on its current Hairstyle. It’s hairstyle may be changed as an Extended Action by someone with expertise in pokemon grooming such as a hair parlor. 

Dandy Trim - Analytic
Debutante Trim - Rally
Diamond Trim - Defiant
Heart Trim - Beautiful
Kabuki Trim - Inner Focus
La Reine Trim - Intimidate
Matron Trim - Friend Guard
Pharoah Trim - Regal Challenge
Star Trim - Run Away"
Fade Away,Scene - Reaction,"Effect: The Triggering Attack misses the user, then the user turns Invisible until the start of their next Turn. At the start of their Turn, the user may appear in any space within 3m of where they were when they turned invisible. 
Bonus: While the user is Invisible, they are Untargetable. If the Weather is Foggy, Fade Away may Trigger if the Attacking was from an Adjacent Enemy as well.",The user is hit by an Attack from a non Adjacent Enemy,,Defensive,"Scene - Reaction
Keywords - Defensive
Trigger - The user is hit by an Attack from a non Adjacent Enemy
Effect: The Triggering Attack misses the user, then the user turns Invisible until the start of their next Turn. At the start of their Turn, the user may appear in any space within 3m of where they were when they turned invisible. 
Bonus: While the user is Invisible, they are Untargetable. If the Weather is Foggy, Fade Away may Trigger if the Attacking was from an Adjacent Enemy as well."
Fated Love,Scene - Swift Action,"Effect: The user chooses one ally or themself. The Target becomes Entranced with the chosen Combatant as their Fixation. 
Bonus: While an Enemy is Entranced with the user as their Fixation, the effects of the affliction apply to them regardless if the user is within 3m of them.",,An Enemy within 3m,,"Scene - Swift Action
Target - An Enemy within 3m
Effect: The user chooses one ally or themself. The Target becomes Entranced with the chosen Combatant as their Fixation. 
Bonus: While an Enemy is Entranced with the user as their Fixation, the effects of the affliction apply to them regardless if the user is within 3m of them."
Fiery Crash,Static,"Effect: Whenever the user uses an Attack with the Dash keyword, they may either increase that Attack’s Damage Base by +2, or change the Attack to be Fire Type if it was not already. All Attacks with the Dash keyword performed as Fire Typed burn their target on 17+, or increase the effect range by +2 if they could already inflict Burn. The user ignores the Recoil Keyword on Fire Type Attacks.",,,,"Static
Effect: Whenever the user uses an Attack with the Dash keyword, they may either increase that Attack’s Damage Base by +2, or change the Attack to be Fire Type if it was not already. All Attacks with the Dash keyword performed as Fire Typed burn their target on 17+, or increase the effect range by +2 if they could already inflict Burn. The user ignores the Recoil Keyword on Fire Type Attacks."
Fiery Soul,Static,"Effect: When the user enters the Field, they summon a Fiery Soul Token within an Adjacent Space. This Token cannot be Targeted, may move up to 5m as a Free Action on the user's Turn, and is removed from the Field when the user faints or is recalled. The user may originate Manipulate Maneuvers, Fire Type Attacks or Sonic Attacks from the space their Fiery Soul Token is in. If you or an Ally are adjacent to the Token, they have a bonus to Save Checks equal to your Tier Level. ",,,,"Static
Effect: When the user enters the Field, they summon a Fiery Soul Token within an Adjacent Space. This Token cannot be Targeted, may move up to 5m as a Free Action on the user's Turn, and is removed from the Field when the user faints or is recalled. The user may originate Manipulate Maneuvers, Fire Type Attacks or Sonic Attacks from the space their Fiery Soul Token is in. If you or an Ally are adjacent to the Token, they have a bonus to Save Checks equal to your Tier Level. "
Flame Body,At-Will - Reaction,"Effect: The Triggering Enemy either becomes Burned. If the Trigger was being hit with an Attack and the Triggering Enemy is already Burned, they cannot cure the Affliction during their next Save Check. ",An Enemy ends their Turn Adjacent to the user or hits them with an Attack while Adjacent to them,,Defensive,"At-Will - Reaction
Keywords - Defensive
Trigger - An Enemy ends their Turn Adjacent to the user or hits them with an Attack while Adjacent to them
Effect: The Triggering Enemy either becomes Burned. If the Trigger was being hit with an Attack and the Triggering Enemy is already Burned, they cannot cure the Affliction during their next Save Check. "
Flaming Shot,Scene x2 - Movement Action,"Effect: Instead of the Attack being a straight line, at any point in the Line, it can shift one space off the straight line, then it must continue straight the rest of the range.
Bonus: If the user has higher Speed than a Target of its Fire Type Damaging Attack, they cannot apply Speed Evasion against it. The user may use Fire Type Damaging Attacks as if their Range was Line 6",The user uses a Fire Type Attack with the Line Range,,,"Scene x2 - Movement Action
Trigger - The user uses a Fire Type Attack with the Line Range
Effect: Instead of the Attack being a straight line, at any point in the Line, it can shift one space off the straight line, then it must continue straight the rest of the range.
Bonus: If the user has higher Speed than a Target of its Fire Type Damaging Attack, they cannot apply Speed Evasion against it. The user may use Fire Type Damaging Attacks as if their Range was Line 6"
Flaming Wrath,Static,"Effect: For each Tick of Hit Points the user is missing, the user gains a +5 Bonus to Damage Rolls for Fire Type Attacks. This Damage Bonus cannot exceed double the user’s Tier Value. While the user is below 50% of their Max Hit Points, their Damaging Attacks ignore the Recoil Keyword. ",,,,"Static
Effect: For each Tick of Hit Points the user is missing, the user gains a +5 Bonus to Damage Rolls for Fire Type Attacks. This Damage Bonus cannot exceed double the user’s Tier Value. While the user is below 50% of their Max Hit Points, their Damaging Attacks ignore the Recoil Keyword. "
Flames of Justice,Scene x2 - Swift Action,"Connection - Armor Cannon. 
Effect: The Triggering Attack’s Range is changed to Line X, where X is the meters of the original Range. You may instead change the Range to Close Blast Y, Smite, but may only do so once per Scene and the user becomes Vulnerable Attack Resolution until the end of the next Round. Y is equal to half the Value of X rounded down.","The user uses a Fire or Psychic Type Attack with a range of X, 1 Target",,,"Scene x2 - Swift Action
Trigger - The user uses a Fire or Psychic Type Attack with a range of X, 1 Target
Connection - Armor Cannon. 
Effect: The Triggering Attack’s Range is changed to Line X, where X is the meters of the original Range. You may instead change the Range to Close Blast Y, Smite, but may only do so once per Scene and the user becomes Vulnerable Attack Resolution until the end of the next Round. Y is equal to half the Value of X rounded down."
Flavorful Aroma,At-Will - Swift Action,"Effect: Choose one of the following Aroma Scents. Sweet, Spicy, Floral, Fruity. The modifier of this Ability’s Bonus Effect is dependent on the chosen Scent. If it is Sweet, the Modifier is to Effect Ranges. If it is Spicy, the Modifier is to Critical Hit Range. If it is Floral, it is to Save Checks. If it is Fruity, it is to Accuracy Rolls. 
Bonus: The user and all allies within 3m have a Modifier to a Combat Value depending on the user’s current Aroma Scent equal to your Tier Level. As an Extended Action you may choose a Scent to start the Scene with.",,,,"At-Will - Swift Action
Effect: Choose one of the following Aroma Scents. Sweet, Spicy, Floral, Fruity. The modifier of this Ability’s Bonus Effect is dependent on the chosen Scent. If it is Sweet, the Modifier is to Effect Ranges. If it is Spicy, the Modifier is to Critical Hit Range. If it is Floral, it is to Save Checks. If it is Fruity, it is to Accuracy Rolls. 
Bonus: The user and all allies within 3m have a Modifier to a Combat Value depending on the user’s current Aroma Scent equal to your Tier Level. As an Extended Action you may choose a Scent to start the Scene with."
Floral Bloom,Scene - Swift Action,"Effect: The user may only use Floral Bloom if the Weather is Sunny or they’re below 50% Hit Points. When Activated, choose two Stats. You gain +2 CS to the chosen Stats and all Allies within 3m of you gain +1 CS in the chosen Stats. You may also choose HP and if you do, you gain 3 Ticks of Temporary Hit Points and Allies gain 2 Ticks of Temporary Hit Points.
Bonus: While the Weather is Sunny, Grass Type Attacks you have are treated as having the Priority (Limited) Keyword.",,,,"Scene - Swift Action
Effect: The user may only use Floral Bloom if the Weather is Sunny or they’re below 50% Hit Points. When Activated, choose two Stats. You gain +2 CS to the chosen Stats and all Allies within 3m of you gain +1 CS in the chosen Stats. You may also choose HP and if you do, you gain 3 Ticks of Temporary Hit Points and Allies gain 2 Ticks of Temporary Hit Points.
Bonus: While the Weather is Sunny, Grass Type Attacks you have are treated as having the Priority (Limited) Keyword."
Flower Power,Static,"Effect: The user may perform damaging Grass Type Attacks as if they were their choice of either Physical or Special. If the Weather is Sunny, the user’s Grass Type Damaging Attacks cannot be resisted by Type Effectiveness.",,,,"Static
Effect: The user may perform damaging Grass Type Attacks as if they were their choice of either Physical or Special. If the Weather is Sunny, the user’s Grass Type Damaging Attacks cannot be resisted by Type Effectiveness."
Flower Veil,Static,"Effect: The user and Allies within 2m cannot have their Combat Stages lowered by any source other than themselves. If the Weather is Sunny, the user and Allies within this range have a bonus to Evasion equal to your Tier Level. ",,,Defensive,"Static
Keywords - Defensive
Effect: The user and Allies within 2m cannot have their Combat Stages lowered by any source other than themselves. If the Weather is Sunny, the user and Allies within this range have a bonus to Evasion equal to your Tier Level. "
Fluffy,Static,"Effect: The user resists Melee Attacks by an additional Damage Step. The user is considered to be Weak against Fire Type Attacks, ignoring Type Effectiveness. The user cannot cure the Burn Affliction through Save Checks. If the user would already be weak to Fire Type Attacks, they cannot apply Evasion against them. ",,,Defensive,"Static
Keywords - Defensive
Effect: The user resists Melee Attacks by an additional Damage Step. The user is considered to be Weak against Fire Type Attacks, ignoring Type Effectiveness. The user cannot cure the Burn Affliction through Save Checks. If the user would already be weak to Fire Type Attacks, they cannot apply Evasion against them. "
Fluffy Charge,Scene - Movement Action,"Connection - Charge. 
Effect: You may use Charge as a Free Action, frequency permitting. You may use either the Versatile Effect or the normal Effect. If you use the Versatile Effect, Fluffy Charge’s Frequency isn’t expended.
Bonus: When the user ends their Turn in Thunderstorm Weather, they restore a Tick of Hit Points.",The user uses a self-targeting Attack or an Electric Status Attack that is not Charge,,,"Scene - Movement Action
Trigger - The user uses a self-targeting Attack or an Electric Status Attack that is not Charge
Connection - Charge. 
Effect: You may use Charge as a Free Action, frequency permitting. You may use either the Versatile Effect or the normal Effect. If you use the Versatile Effect, Fluffy Charge’s Frequency isn’t expended.
Bonus: When the user ends their Turn in Thunderstorm Weather, they restore a Tick of Hit Points."
Flying Fly Trap,Static,Effect: The user is Immune to Bug and Ground Type Attacks. The user’s Melee Attacks are one step more Effective against Bug Type Pokemon (Max 1.5x Effectiveness). ,,,Defensive,"Static
Keywords - Defensive
Effect: The user is Immune to Bug and Ground Type Attacks. The user’s Melee Attacks are one step more Effective against Bug Type Pokemon (Max 1.5x Effectiveness). "
Focused Membrane,Scene x2 - Swift Action,"Effect: Make a Perception or Intuition Check. Depending on the results, the user gains bonuses to their next Attack against the Target. An Enemy can only be affected this way once per Scene.
2+ Successes - They've Vulnerable against the Attack
4+ Successes - They cannot resist the Attack other than through Smite.
6+ Successes - If it is Damaging, it is automatically a Critical Hit",,An Enemy within 5m,,"Scene x2 - Swift Action
Target - An Enemy within 5m
Effect: Make a Perception or Intuition Check. Depending on the results, the user gains bonuses to their next Attack against the Target. An Enemy can only be affected this way once per Scene.
2+ Successes - They've Vulnerable against the Attack
4+ Successes - They cannot resist the Attack other than through Smite.
6+ Successes - If it is Damaging, it is automatically a Critical Hit"
Forecast,At-Will - Reaction,"Effect: The user changes their Type to the Type of the Triggering Attack. 
Bonus: The user’s Normal Type Attacks may deal damage as if they were the user’s Type instead.",An Attack with the Field Keyword is used,,,"At-Will - Reaction
Trigger - An Attack with the Field Keyword is used
Effect: The user changes their Type to the Type of the Triggering Attack. 
Bonus: The user’s Normal Type Attacks may deal damage as if they were the user’s Type instead."
Forest Lord,Scene x3 - Movement Action,"Effect: The user grows a Tree Hazard on one space within 8m of the user whose appearance is dependent on the terrain. The Tree is considered Large Blocking Terrain.
Bonus: The user may originate any Grass or Ghost Type Attacks or Tactic Maneuvers from a Tree within 8m of them. The user is considered to occupy all spaces their Tree Hazards are in.",,,,"Scene x3 - Movement Action
Effect: The user grows a Tree Hazard on one space within 8m of the user whose appearance is dependent on the terrain. The Tree is considered Large Blocking Terrain.
Bonus: The user may originate any Grass or Ghost Type Attacks or Tactic Maneuvers from a Tree within 8m of them. The user is considered to occupy all spaces their Tree Hazards are in."
Forewarn,At-Will - Free Action,"Effect: The Attack with the highest Damage Base the Target has on their Attack List becomes Forewarned until the end of the Scene. When an Attack is Forewarned, it is communicated to the Players that it is on their Attack List. If an Enemy is Targeted multiple times, their next highest or a random Attack is Forewarned. Forewarn may only be used once per Round.
Bonus: You and Allies have a bonus to Evasion equal to your Tier Level against Forewarned Attacks. You may perform Analyze Maneuvers as a Free Action once per Round. ",,An Enemy within 5m,,"At-Will - Free Action
Target - An Enemy within 5m
Effect: The Attack with the highest Damage Base the Target has on their Attack List becomes Forewarned until the end of the Scene. When an Attack is Forewarned, it is communicated to the Players that it is on their Attack List. If an Enemy is Targeted multiple times, their next highest or a random Attack is Forewarned. Forewarn may only be used once per Round.
Bonus: You and Allies have a bonus to Evasion equal to your Tier Level against Forewarned Attacks. You may perform Analyze Maneuvers as a Free Action once per Round. "
Fox Fire,Scene - Swift Action,"Connection - Will-O-Wisp. 
Effect: When this Ability is activated, the user must expend a Wisp Counter, then they may use a Fire or Ghost Type Status Attack as a Free Action. If they instead expend 3 Wisp Counters, the Frequency of this Ability isn't expended.
Bonus: Whenever the user uses a Fire or Ghost Type Attack as a Standard Action, they gain a Wisp Counter (Max 3) at the end of their Turn. On a 16+ on the qualifying Attack, they instead gain +2 Wisp Counters (This counts as an Effect Range). ",,,,"Scene - Swift Action
Connection - Will-O-Wisp. 
Effect: When this Ability is activated, the user must expend a Wisp Counter, then they may use a Fire or Ghost Type Status Attack as a Free Action. If they instead expend 3 Wisp Counters, the Frequency of this Ability isn't expended.
Bonus: Whenever the user uses a Fire or Ghost Type Attack as a Standard Action, they gain a Wisp Counter (Max 3) at the end of their Turn. On a 16+ on the qualifying Attack, they instead gain +2 Wisp Counters (This counts as an Effect Range). "
Friend Guard,Scene x2 - Reaction,"Effect: They resist it by an additional damage step. 
Bonus: Allies that are adjacent to the user have Damage Reduction equal to your Tier Value while they’re adjacent to you. This cannot stack with other instances of Friend Guard. ",An Adjacent Ally is hit by a Damaging Attack,,Defensive,"Scene x2 - Reaction
Keywords - Defensive
Trigger - An Adjacent Ally is hit by a Damaging Attack
Effect: They resist it by an additional damage step. 
Bonus: Allies that are adjacent to the user have Damage Reduction equal to your Tier Value while they’re adjacent to you. This cannot stack with other instances of Friend Guard. "
