Move,Freq,AC,Type,Roll,Dmg. Type,Range,Special Effect
Fey Wild,Scene x2,2,Fairy,3d12+10 ,Phys,"Melee, 1 Target, Dash","Superpower lowers the user's Attack and Defenseby 1 Combat Stage each."
Final Topping,Daily x2,4,Fairy,3d12+10 ,Spec,"Burst 2, Friendly","Heal all allies by 2 ticks of hit points. Alcremie Sp Atk is lowered by 2 combat stages"
Fleur Cannon,Scene,4,Fairy,4d10+10 ,Spec,"Line 9, Smite","Lower the user's Special Attack 2 CombatStages after damage."
Light of Ruin,Scene,4,Fairy,4d10+15 ,Spec,"8, Ranged Blast 3, Smite, Recoil 1/2","None"
Lovely Bite,At-Will,3,Fairy,2d6+10 ,Phys,"Melee, 1 Target","Lovely Bite Infatuates the target on a roll of 18+"
Magical torque,EOT,2,Fairy,3d8+10 ,Phys,"Melee, 1 Target",""
Misty Explosion,Daily,2,Fairy,3d8+10 ,Spec,"Burst 3, Friendly, Smite","The user's Hit Points are set to -50% of theirfull Hit Point value. This Hit Point loss cannot beprevented or reduced in any way. After MistyExplosion is resolved, create Misty Terrain in a Blast7, centered on the user, that lasts for 5 turns. Anycreatures in those spaces are affected as if by theField Move Misty Terrain, rather than any other FieldMove."
Moonblast,EOT,2,Fairy,3d8+10 ,Spec,"6, 1 Target","Moonblast lowers the target's Special Attack by 1Combat Stage on 15+."
Play Rough,EOT,4,Fairy,2d10+10 ,Phys,"Melee, 1 Target","Play Rough lowers the target's Attack 1 CombatStage on 17-20 during Accuracy Check."
Sparkling Spin,EOT,/,Fairy,,Phys,"","Rapid Spin destroys all Hazards within 5meters, removes Leech Seeds, and removes the user'sTrapped or Stuck status."
Spirit Break,EOT,2,Fairy,2d8+10 ,Phys,"Melee, 1 Target","The target's Special Attack stat is lowered 1 CS."
Springtide Storm,Scene,5,Fairy,3d8+10 ,Spec,"6, Ranged Blast 3, Smite","If the user is not in Therian Forme, the user haseach of its stats raised by +1 CS on a 16+. If the user isin Therian Form, the target has each of its statslowered by -1 CS on a 16+."
Strange Steam,Scene x2,3,Fairy,2d10+10 ,Spec,"Burst 1","The target is confused on 17+."
Sugar Rush,At-Will,2,Fairy,1d8+8 ,Phys,"Melee, 1 Target, Dash","Raise the user's Speed 1 Combat Stage."
Aromatic Mist,EOT,/,Fairy,,Status,"Burst 1","All allies in Aromatic Mist's area of effect havetheir Special Defense raised 1 Combat Stage."
Baby-Doll Eyes,EOT,2,Fairy,,Status,"4, 1 Target, Priority, Social","The target's Attack is lowered 1 Combat Stage."
Charm,EOT,2,Fairy,,Status,"6, 1 Target, Social","Charm lowers the target's Attack 2 CombatStages."
Crafty Shield,Scene,/,Fairy,,Status,"Burst 2, Interrupt, Shield, Trigger","If the user or an Ally within 2 meters of CraftyShield's user is hit by a Status Move, you may use CraftyShield as an Interrupt. All targets in Crafty Shield's area-of-effect including the user, are instead not hit by thetriggering Move and do not suffer any of its effects."
Decorate,Scene,/,Fairy,,Status,"Melee, 1 Target","The target gains +2 CS in both Attack andSpecial Attack."
Fairy Lock,Scene,/,Fairy,,Status,"Burst 3, Friendly","All legal targets become Trapped and Slowedwhile the user remains in the encounter. This effect endsif the user switches or is Fainted."
Floral Healing,Daily x2,/,Fairy,,Status,"Melee, 1 Target, Healing","The target regains Hit Points equal to half of itsfull Hit Point value. If the field is Grassy Terrain, thetarget gains 2/3 of its full Hit Point value instead."
Flower Shield,Scene,/,Fairy,,Status,"Burst 2","All Grass Type pokémon in Flower Shield's areaof effect have their Defense raised by +2 Combat Stages."
Geomancy,Scene,/,Fairy,,Status,"","Self, Set-Up"
Misty Terrain,Daily x2,/,Fairy,,Status,"Field","The area becomes Misty for 5 turns. WhileMisty, all pokémon and Trainers standing on theground ignore the first turn of all Status Afflictions,and Dragon-type attacks targeting or originating froma grounded pokémon or Trainer take a -10 Penalty toDamage Rolls."
Moonlight,Daily x2,/,Fairy,,Status,"Self","The user regains Hit Points equal to half of itsfull Hit Point value. If it is Sunny, the user gains 2/3 ofits full Hit Point value. If it is Rainy, Sand Storming orHailing the user gains 1/4 of their full Hit Point value."
Nature's Madness,Scene,4,Fairy,,Spec,"4, 1 Target","The target loses 1/2 of their current Hit Points."
Sweet Kiss,Scene x2,6,Fairy,,Status,"6, 1 Target, Social","The target becomes Confused. On miss, thetarget suffers a -2 penalty to Accuracy Rolls for one fullround."
Arm Thrust,EOT,4,Fighting,1d6+3 ,Phys,"Melee, 1 Target, Five Strike","None"
Aura Sphere,EOT,/,Fighting,2d8+10 ,Spec,"8, 1 Target, Aura","Aura Sphere cannot miss."
Aura Tempest,Scene,4,Fighting,4d10+10 ,Spec,"8, Ranged Blast 3, Smite, Aura","Lower the user's Special Attack 2 Combat Stagesafter damage."
Axe Kick,EOT,3,Fighting,3d12+10 ,Phys,"Melee, 1 Target, Dash",""
Body Press,Scene x2,2,Fighting,2d8+10 ,Phys,"Melee, 1 Target","The user's Defense Stat is added to thedamage roll instead of the Attack Stat."
Break Dance,EOT,/,Fighting,,Phys,"","Break Dance raises user speed on 17+"
Brick Break,At-Will,2,Fighting,2d8+10 ,Phys,"Melee, 1 Target","Light Screen,Reflect,Aurora Veil etc may not be activated inresponse to Brick Break."
Circle Throw,At-Will,4,Fighting,2d6+8 ,Phys,"Melee, 1 Target, Push","The target is Pushed 6 meters minus their WeightClass. On 15+, the target is also Tripped."
Close Combat,Scene x2,2,Fighting,3d12+10 ,Phys,"Melee, 1 Target, Dash","The user's Defense and Special Defense are eachlowered by -1 Combat Stage."
Collision Course,Scene x2,2,Fighting,3d8+10 ,Phys,"Melee, 1 Target, Dash, Pass",""
Combat Torque,EOT,2,Fighting,3d8+10 ,Phys,"Melee, 1 Target",""
Cross Chop,Scene x2,4,Fighting,3d8+10 ,Phys,"Melee, 1 Target","Cross Chop is a Critical Hit on 16+."
Double Kick,At-Will,3,Fighting,1d6+5 ,Phys,"Melee, 1 Target, Double Strike","None"
Drain Punch,Scene x2,2,Fighting,2d8+10 ,Phys,"Melee, 1 Target, Aura","After the target takes damage, the user gains HPequal to half of the damage they dealt to the target."
Dynamic Punch,At-Will,9,Fighting,3d8+10 ,Phys,"Melee, 1 Target","Dynamic Punch Confuses the target. DynamicPunch ignores the target's Evasion if they are Flanked."
Flying Press,EOT,3,Fighting,2d8+10 ,Phys,"Melee, Dash, 1 Target",""
Focus Blast,Scene x2,7,Fighting,3d12+10 ,Spec,"6, 1 Target, Smite, Aura","Focus Blast lowers the target's Special Defense 1Combat Stage on 18+."
Focus Punch,Scene x2,2,Fighting,4d10+20 ,Phys,"Melee, 1 Target, Priority (Limited), Aura","Use of Focus Punch must be declared as aPriority (Limited) action at the beginning of the round.Nothing happens at this time. At the end of the round,if the target hasn't been hit by an attack dealing damageequal to at least 25% of the user's Maximum Hit Points,the user may Shift and use Focus Punch. Focus Punch'sFrequency is not expended if it is negated by an attack."
Force Palm,At-Will,2,Fighting,2d6+8 ,Phys,"Melee, 1 Target, Aura","Force Palm Paralyzes the target on 18+."
Hammer Arm,EOT,3,Fighting,3d8+10 ,Phys,"Melee, 1 Target","The user lowers their Speed 1 Combat Stage."
High Jump Kick,EOT,3,Fighting,4d10+10 ,Phys,"Melee, Dash, 1 Target","If High Jump Kick misses, the user loses HitPoints equal to 1/4th of their Max Hit Points. A failureto hit due to a Move with the Shield keyword does notcount as a miss. This Move cannot be used if Gravity isin effect."
Jump Kick,At-Will,3,Fighting,3d8+10 ,Phys,"Melee, Dash, 1 Target","If Jump Kick misses, the user loses Hit Pointsequal to 1/4th of their Max Hit Points. A failure to hitdue to a Move with the Shield keyword does not countas a miss. This Move cannot be used if Gravity is ineffect."
Jaw Lock,Scene x2,2,Fighting,2d6+8 ,Phys,"Melee, 1 Target","You may perform a Grapple Maneuver againstthe target as a Free Action."
Karate Chop,At-Will,2,Fighting,1d8+8 ,Phys,"Melee, 1 Target","Karate Chop is a Critical Hit on 17+."
Ki Blast,EOT,4,Fighting,3d10+10 ,Spec,"8, 1 Target, Aura","Ki Blast Crits on 17+."
Low Kick,EOT,2,Fighting,,Phys,"Melee, 1 Target, Weight Class","Low Kick's Damage Base is equal to twice thetarget's Weight Class."
Low Sweep,EOT,2,Fighting,2d6+10 ,Phys,"Melee, 1 Target","Lowers the target's Speed 1 Combat Stage."
Mach Punch,At-Will,2,Fighting,1d8+6 ,Phys,"Melee, 1 Target, Priority","None"
Meteor Assault,Daily x2,2,Fighting,4d10+20 ,Phys,"","Burst 1, Smite, Exhaust"
Power-Up Punch,EOT,2,Fighting,1d8+6 ,Phys,"Melee, 1 Target","If Power-Up Punch successfully hits a target, theuser's Attack is raised by +1 Combat Stage"
Quad Punch,At-Will,4,Fighting,1d6+5 ,Phys,"Melee, 1 Target, Four Strike","May hit up to four times.Can Select different targets as long as they are in Attack Range."
Revenge,EOT,2,Fighting,2d6+8 ,Phys,"Melee, 1 Target, Priority (Limited)","When declaring Revenge, the user does nothingand may not Shift. At the end of the round, the usermay shift and use Revenge. If the target has damagedthe user this round, Revenge has a Damage Base of 12(3d12+10 / 30)."
Reversal,EOT,2,Fighting,2d6+10 ,Phys,"Melee, 1 Target","For each Injury the user has, Reversal's DamageBase is increased by +1."
Rock Smash,At-Will,2,Fighting,1d8+6 ,Phys,"Melee, 1 Target","Rock Smash lowers the target's Defense 1 CombatStage on 17+."
Rolling Kick,At-Will,4,Fighting,2d6+8 ,Phys,"Melee, 1 Target","Rolling Kick Flinches the target on 15+."
Sacred Sword,EOT,/,Fighting,2d8+10 ,Phys,"Melee, 1 Target","Sacred Sword cannot miss."
Secret Sword,At-Will,2,Fighting,2d8+10 ,Spec,"Melee, 1 Target","When calculating damage, the target subtractstheir Defense from Secret Sword's damage instead oftheir Special Defense. Secret Sword is still otherwiseSpecial ( Special Evasion is used to avoid it, Mirror Coatcan reflect it, etc. )."
Sky Uppercut,At-Will,4,Fighting,2d10+10 ,Phys,"Melee, 1 Target","Sky Uppercut may be used as an Interrupt whenagainst a target initiating Bounce, Fly, or Sky Drop toallow the user to Shift and use Sky Uppercut. If SkyUppercut successfully hits its target, the triggeringMove fails (though the target may take their next turnnormally)."
Storm Throw,EOT,2,Fighting,2d6+8 ,Phys,"Melee, 1 Target","If Storm Throw hits, it is a Critical Hit."
Submission,Scene,6,Fighting,4d10+20 ,Phys,"Melee, 1 Target, Recoil 1/3","On an accuracy roll of 15+, the target is Tripped."
Superpower,Scene x2,2,Fighting,3d12+10 ,Phys,"Melee, 1 Target, Dash","Superpower lowers the user's Attack and Defenseby 1 Combat Stage each."
Thunderous Kick,EOT,2,Fighting,2d10+10 ,Phys,"Melee, 1 Target","All legal targets hit lose 1 Defense CombatStage. Once per Scene, Thunderous Kick may insteadbe used as an Electric-Type Move."
Titanic Boost,Daily x1,/,Fighting,,Status,"Self,Interrupt","For the Next 5 turns user resist all physical moves 1 step further and his moves that make"
Triple Arrows,EOT,2,Fighting,1d8+8 ,Phys,"4, 1 Target","Targets hit by Triple Arrows lose 1 CS in bothDefense and Special Defense.After attacking with Triple Arrows, hit or miss, theuser may Disengage 2m and attack a different targetwith Triple Arrows. This effect may be repeated asecond time, targeting a creature that has not beentargeted by either prior attack. Before making eachattack roll, the user can elect to give up triggering allremaining additional shifts and attacks. Triple Arrowsgains +1 Accuracy and +1 DB for each attack that isgiven up. Triple Arrows always benefits from theTechnician Ability.Once Daily, after all attacks with Triple Arrows havebeen resolved, the user becomes Pumped. WhilePumped, the user's Critical Range is extended by 2, or18+ if the Critical Range is not otherwise extended.Being switched will cause this effect to end."
Triple Kick,At-Will,3,Fighting,,Phys,"Melee, 1 Target","Make three attacks with Triple Kick. If you hitonce, Triple Kick has a DB of 1. If you hit two times,Triple Kick has a DB of 3. If you hit three times, TripleKick has a DB of 6."
Vacuum Wave,At-Will,2,Fighting,1d8+6 ,Spec,"4, 1 Target, Priority, Aura","None"
Vital Throw,EOT,/,Fighting,2d6+10 ,Phys,"Melee, 1 Target, Push, Reaction","If the user is targeted by a Melee attack and hasnot yet taken a turn this round, the user may declareVital Throw. After the triggering attack is resolved, theuser may use Vital Throw against the triggering foe as aReaction. Vital Throw cannot miss."
Wake-Up Slap,At-Will,2,Fighting,1d8+8 ,Phys,"Melee, 1 Target","If the target is Asleep, Wake-Up Slap has aDB of 10 (3d8+10 / 24) instead, and cures thetarget of Sleep."
Bulk Up,EOT,/,Fighting,,Status,"Self","Raise the user's Attack 1 Combat Stage and raisethe user's Defense 1 Combat Stage."
Coaching,EOT,/,Fighting,,Status,"Burst 1","The user and any allies in the Burst have theirAttack and Defense raised by 1 CS."
Counter,Scene x2,/,Fighting,,Phys,"Melee, 1 Target, Reaction, Trigger","Counter may be used as a Reaction when theuser is hit by a damaging Physical Attack. Resolve theTriggering Attack, with Counter's user resisting theattack one step further. After the attack is resolved, ifCounter's user was not Fainted, the triggering foe thenloses Hit Points equal to twice the amount of Hit Pointslost by the user from the triggering attack. Note thatCounter is Physical, and while it cannot miss, it cannothit targets immune to Fighting-Type Moves."
Detect,Scene,/,Fighting,,Status,"Self, Interrupt, Shield, Trigger","If the user is hit by a Move, the user may useDetect. The user is instead not hit by the Move. You donot take any damage nor are you affected by any of theMove's effects."
Final Gambit,Scene,2,Fighting,,Spec,"Melee, 1 Target","Final Gambit lowers the user to 0 Hit Points andcauses them to Faint. Final Gambit then deals 1 point ofdamage to the target for every Hit Point lost by the user.Final Gambit does not cause items to activate."
Mat Block,Scene,/,Fighting,,None,"Self, Interrupt, Shield, Trigger","If the user or an adjacent ally is hit by a damagingattack, the user may use Mat Block. The attack insteaddoes not hit any targets, and it deals no damage and nohas effects. You may only use Mat Block during the firstround of an encounter."
No Retreat,Scene,/,Fighting,,Status,"Self","The user gains +1 CS in each stat. In addition,the user may not be recalled or switched out until theend of the Scene, and counts as Slowed for thepurposes of any movement that would end furtheraway from the nearest enemy than the user started."
Octolock,Scene,2,Fighting,,Status,"Melee, 1 Target","The user initiates a Grapple Maneuver with thetarget, which automatically hits. If successful, untilthe user no longer has Dominance in the grapple, thetarget is Trapped and loses 1 CS in Defense andSpecial Defense at the end of each of their turns."
Quick Guard,Scene,/,Fighting,,Status,"Melee, Interrupt, Shield, Trigger","If the user or an adjacent ally is targeted by aPriority or Interrupt Attack, Quick Guard may bedeclared as an Interrupt, causing the triggering attackto have no effect."
Seismic Toss,Scene x2,2,Fighting,,Phys,"Melee, 1 Target","The target loses Hit Points equal to the level ofSeismic Toss' user."
Second Wind,Daily,/,Fighting,,Status,"Self","Raise the user's Attack 2 Combat Stage and raisethe user's Speed 2 Combat Stage.Can Only Be used when user is under 50% hp and has at least 3 Injuries"
Victory Dance,EOT,/,Fighting,,Status,"Self","If the user performs a Fighting Move on theirnext turn that deals damage, add its Damage Dice Rollan extra time to the damage. Raise the user's Defense1 Combat Stage."
Armor Cannon,Scene x2,2,Fire,3d12+10 ,Spec,"8, 1 Target, Dash","The user's Defense and Special Defense"
Bitter Blade,EOT,2,Fire,2d10+10 ,Phys,"Melee, 1 Target,","After the target takes damage, the user gato the target."
Blast Burn,Daily x2,4,Fire,4d10+20 ,Spec,"Close Blast 3, Smite, Exhaust","None"
Blaze Kick,EOT,4,Fire,2d10+10 ,Phys,"Melee, 1 Target","Blaze Kick Burns the target on 19+, and is aCritical Hit on 18+."
Blazing torque,EOT,2,Fire,3d8+10 ,Phys,"Melee, 1 Targete are each lowered by -1 Combat Stage.ains HP equal to half of the damage they dealtt Stage.",""
Blue Flare,Scene x2,5,Fire,4d10+10 ,Spec,"10, 1 Target, Smite","Blue Flare Burns the target on 17+."
Burn Up,Daily x2,2,Fire,4d10+10 ,Spec,"Burst 1, Smite","Until the end of the encounter, the user losesits Fire-Type. Pure Fire-Types instead becomeNormal-Type."
Burning Jealousy,EOT,2,Fire,2d6+10 ,Spec,"Burst 1, Spirit Surge","After Burning Jealousy has resolved, the usermay choose to Burn foes within 5m that have had anyCS raised since the beginning of that foe's last turn.This Effect may trigger only once per Scene."
Burning Knee,Scene x2,2,Fire,2d10+10 ,Phys,"Burst 1, Spirit Surge","Flinch target on 12 or 14 , burn target on 18+"
Cursed Flare,EOT,4,Fire,2d8+10 ,Spec,"6, 1 Target","On 17+ , Cursed flare disables one move from opponent for 3 turns."
Egg Bomb,Scene x2,6,Fire,3d8+10 ,Phys,"5, Blast 2","None."
Ember,At-Will,2,Fire,1d8+6 ,Spec,"4, 1 Target","Ember Burns the target on 18+."
Eruption,Daily,4,Fire,4d10+20 ,Spec,"Burst 1*","For each 10% of Hit Points the user is missing,Eruption's Damage Base is reduced by 1. Eruptioncreates a 1 meter burst, but also affects an area 10 meterstall straight up."
Fiery Dance,EOT,2,Fire,2d8+10 ,Spec,"4, 1 Target","If Fiery Dance successfully hits a foe, it raisesthe user's Special Attack by 1 Combat Stage on Even-Numbered Rolls."
Fiery Shock,At-Will,2,Fire,2d8+10 ,Spec,"4, 1 Target","When calculating damage , if target defense is lower than special defense, substracts targetdefense instead."
Fire Blast,Scene x2,4,Fire,3d10+10 ,Spec,"6, 1 Target, Smite","Fire Blast burns the target on 19+."
Fire Breath,Daily x2,5,Fire,3d10+10 ,Spec,"6, 1 Target,","Fire Breath Burns on 18+.It May do dragon type damage instead if user wishes."
Fire Fang,At-Will,3,Fire,2d6+10 ,Phys,"Melee, 1 Target","Fire Fang Burns or Flinches on 18-19 duringAccuracy Check; flip a coin to determine whether thefoe gets Burned or Flinches. On 20 during AccuracyCheck, the foe is Burned and Flinches."
Fire Lash,EOT,2,Fire,2d8+10 ,Phys,"2, 1 Target","The target's Defense is lowered by 1 CombatStage."
Fire Pledge,Scene,2,Fire,2d8+10 ,Spec,"6, 1 Target, Pledge","If an ally uses Grass Pledge or Water Pledge,you may use Fire Pledge as Priority (Advanced)immediately after their turn to target the same foe. Ifused in conjunction with Grass Pledge, Fire Hazardsare created in a Burst 1 around the target. If used inconjunction with Water Pledge, a Rainbow is createdthat lasts for 5 rounds. Consult the Pledge keyword foradditional details."
Fire Punch,At-Will,2,Fire,2d8+10 ,Phys,"Melee, 1 Target","Fire Punch Burns the target on 19+ duringAccuracy Check."
Fired Up,EOT,/,Fire,,Status,"Self","Raise the user's Special Attack 1 Combat Stage and raisethe user's Speed 1 Combat Stage."
Fire Spin,Scene x2,4,Fire,1d8+6 ,Spec,"3, 1 Target","The target is put in a Vortex."
Firestorm,Scence x2,4,Fire,4d10+10 ,Spec,"6, 1 Target","Firestorm burns on 17+."
Flame Burst,At-Will,2,Fire,2d6+10 ,Spec,"6, 1 Target","Any Trainers or pokémon cardinally adjacent tothe target lose 5 Hit Points."
Flame Charge,At-Will,2,Fire,1d8+8 ,Phys,"Melee, 1 Target, Dash","Raise the user's Speed 1 Combat Stage."
Flame Slam,EOT,/,Fire,,Phys,"","Flame Slam burns the target on 18+"
Flame Wheel,At-Will,2,Fire,2d6+8 ,Phys,"Melee, 1 Target, Dash","Flame Wheel Burns the target on 19+."
Flamethrower,EOT,2,Fire,2d10+10 ,Spec,"4, 1 Target","Flamethrower Burns the target on 19+."
Flare Blitz,Scene x2,2,Fire,3d12+10 ,Phys,"Melee, 1 Target, Dash, Recoil 1/3","Flare Blitz Burns the target on 19+."
Fists of Fury,EOT,4,Fire,1d6+5 ,Phys,"Melee,1 Target, Five Strike","Fists of fury may do Fighting-Type damages if user wishes."
Fusion Flare,Scene x2,2,Fire,3d8+10 ,Spec,"8, 1 Target, Smite","If Fusion Bolt was used this round or last roundby any participant of the encounter, Fusion Flare has itsDB increased by +3."
Heat Crash,EOT,2,Fire,1d8+6 ,Phys,"Melee, 1 Target, Dash","For each weight class the user is above the target,increase Heat Crash's Damage Base by +2."
Heat Wave,Scene x2,4,Fire,3d8+10 ,Spec,"Close Blast 3, Smite","Heat Wave Burns all Legal Targets on 18+."
Incinerate,At-Will,2,Fire,2d6+8 ,Spec,"Line 3","If a target is holding a Held Item or Main or Off-Hand item, they must either drop it immediately or losea Tick of Hit Points. This may only cause a target to loseat most one Tick of Hit Points, no matter how manyitems they were holding."
Inferno,At-Will,9,Fire,3d8+10 ,Spec,"6, 1 Target","Inferno Burns the target. Inferno ignores thetarget's Evasion if there are no other combatants orRough or Blocking Terrain within 2 meters of the target."
Lava Plume,EOT,2,Fire,2d8+10 ,Spec,"Burst 1","Lava Plume burns all targets on 16+."
Magma Storm,Scene,6,Fire,3d8+10 ,Spec,"6, 1 Target","The target is put in a Vortex; this effect occurseven if Magma Storm misses its target."
Mind Blown,Daily,2,Fire,4d10+10 ,Spec,"6, Ranged Blast 3, Smite","The user's Hit Points are reduced by 50% oftheir full Hit Point value. This Hit Point loss cannot beprevented or reduced in any way."
Molten Shield,Daily x1,/,,,Status,"","The user creates a blazing shield of fire around itself. For the next 5 turns, the user isimmune to all status conditions and its Defense and Special Defense are increased by 1 Combat Stages.Additionally, any Pokémon that makes physical contact with the user must make a Save Check (DC 12). On afailure, the contacting Pokémon is burned."
Mystical Fire,EOT,2,Fire,2d6+10 ,Spec,"6, 1 Target","Mystical Fire lowers the target's Special Attackby 1 Combat Stage."
Overheat,Scene,4,Fire,4d10+10 ,Spec,"8, Ranged Blast 3, Smite","Lower the user's Special Attack 2 Combat Stagesafter damage."
Pyro Ball,Scene x2,4,Fire,3d12+10 ,Phys,"6, 1 Target, Smite","The target is Burned on 19+."
Pyro Technics,EOT,2,Fire,2d10+10 ,Spec,"6, 1 Target, Smite","On 18+ , lowers target accuracy by 1 combat Stage."
Raging Fury,Scene x2,2,Fire,2d6+10 ,Spec,"Burst 1, Spirit Surge","The user becomes Enraged. Legal targetsbecome Enraged on a 16+."
Sacred Fire,EOT,3,Fire,3d8+10 ,Phys,"6, 1 Target","Sacred Fire Burns the target on Even-NumberedRolls."
Scorched Earth,Scene x2,2,Fire,2d6+10 ,Spec,"5, 1 Target","Scorched Earth Burns the target on 18+.This Move may do ground type damage if the user wishes."
Searing Shot,EOT,2,Fire,3d8+10 ,Spec,"Burst 1","Searing Shot Burns all targets on 15+."
Shell Trap,Scene,2,Fire,4d10+20 ,Spec,"Melee, 1 Target, Interrupt, Trigger","If the user is hit by a Melee attack, they mayuse Shell Trap as an Interrupt."
Torch Song,EOT,2,Fire,2d8+10 ,Spec,"8, 1 Target, Sonic","Raise the user's Special Attack 1 Combat"
V-Create,Daily,5,Fire,6d12+25 ,Phys,"Melee, 1 Target, Smite","Lower the user's Defense, Special Defense, andSpeed by 1 CS each."
Vortex Blaze,Daily,6,Fire,2d10+10 ,Spec,"4, 1 Target","The target is put in a Vortex;"
Sunny Day,Daily x2,/,Fire,,Status,"Field, Weather","The weather becomes Sunny for 5 rounds. WhileSunny, Fire-Type Attacks gain a +5 bonus to DamageRolls, and Water-Type Attacks suffer a -5 Damagepenalty."
Will-O-Wisp,EOT,5,Fire,,Status,"6, 1 Target","The target is Burned."
Fuel Coal,EOT,/,Fire,,Status,"Self","Raise the user's Special Attack 1 Combat Stage and raise the user's Special Defense 1 CombatStag"
Acrobatics,EOT,2,Flying,2d6+8 ,Phys,"Melee, Dash, 1 Target","If the user is not holding an item, Acrobaticsinstead has a Damage Base of 11 (3d10+10 / 27)."
Aerial Ace,EOT,/,Flying,2d6+8 ,Phys,"Melee, 1 Target","Aerial Ace cannot miss."
Aerial Crash,EOT,2,,,Phys,"Melee, 1 Target","For each weight class the user is above the target, increase Aerial Crash's damage base by +2"
Aeroblast,Daily,3,Flying,3d8+10 ,Spec,"Line 6","Aeroblast is a Critical Hit on an Even-NumberedRoll."
Air Cutter,At-Will,2,Flying,2d6+8 ,Spec,"Cone 2","Air Cutter is a Critical Hit on 18+."
Air Slash,EOT,3,Flying,2d8+10 ,Spec,"6, 1 Target","Air Slash Flinches the target on 15+."
Beak Blast,Scene x2,2,Flying,3d8+10 ,Phys,"6, 1 Target, Priority","Beak Blast must be declared at the start of theround. If the user is hit by a Melee attack this round,their attacker is Burned. At the end of the round, theuser may shift and attack with Beak Blast."
Bleakwind Storm,Scene,5,Flying,3d8+10 ,Spec,"6, Ranged Blast 3, Smite","The target is Flinched on a 15+ and Frozen ona 19+."
Bounce,Scene x2,4,Flying,2d10+10 ,Phys,"Melee, 1 Target, Dash, Full Action","The user first Shifts, gaining a +1 Bonus toMovement Speed and to their Jump Capabilities. Afterthe user Shifts, they may attack with Bounce. The targetbecomes Vulnerable, and is Paralyzed on 16+."
Brave Bird,Scene x2,2,Flying,3d12+10 ,Phys,"Melee, Dash, Push, Recoil 1/3","The target is pushed back 2 meters."
Chatter,At-Will,2,Flying,2d6+10 ,Spec,"4, 1 Target, Sonic","Chatter confuses all targets on 16+."
Dragon Ascent,Scene x2,2,Flying,3d12+10 ,Phys,"Melee, 1 Target, Dash","The user's Defense and Special Defense are eachlowered by -1 Combat Stage."
Drill Peck,At-Will,2,Flying,2d8+10 ,Phys,"Melee, 1 Target, Dash","None"
Dual Wingbeat,EOT,2,Flying,1d8+6 ,Phys,"","Melee, 1 Target, Double Strike"
Fly,At-Will,3,Flying,2d8+10 ,Phys,"","Melee, Dash, Set-Up"
Gust,At-Will,2,Flying,1d8+6 ,Spec,"4, 1 Target","If the target is airborne as a result of Fly or SkyDrop, Gust can hit them, ignoring Range and has aDB 8 instead."
Hurricane,Scene x2,7,Flying,3d10+10 ,Spec,"Burst 1, Smite","Hurricane Confuses its target on 15+. If thetarget is in Sunny Weather, Hurricane's Accuracy Checkis 11. If the target is in Rainy Weather, Hurricane cannotmiss. If the target is airborne as a result of Fly or SkyDrop, Hurricane cannot miss."
Gale Force,Scene x2,4,Flying,2d8+10 ,Spec,"Burst 1,","Gale Force Removes all stat changes on target hit by the move. This Move has Priority under Tail wind"
Oblivion Wing,Daily,2,Flying,2d8+10 ,Spec,"Melee, 1 Target","The user gains Hit Points equal to OblivionWing's Damage Roll."
Peck,At-Will,2,Flying,1d8+6 ,Phys,"Melee, 1 Target","None"
Pluck,At-Will,2,Flying,2d6+8 ,Phys,"Melee, 1 Target","Pluck takes the target's Held Item or AccessorySlot Item and attaches it to Pluck's user, if the user is notholding anything."
Sky Attack,Scene x2,4,Flying,4d10+15 ,Phys,"","Melee, Pass, Set-Up, Full Action"
Sky Drop,Scene x2,3,Flying,2d6+8 ,Phys,"","Melee, Target, Set-Up"
Talon Shred,Scene x2,3,Flying,2d8+10 ,Phys,"Melee, Dash","Talon Shred Flinches the target on 15+."
Wing Attack,At-Will,2,Flying,2d6+8 ,Phys,"Melee, 1 Target","None."
Defog,Daily x2,/,Flying,,Status,"Field, Weather","The Weather becomes Clear, and all Blessings,Coats, and Hazards are destroyed. Clear Weather isthe default weather, conferring no innate bonuses orpenalties of any sort."
Feather Dance,EOT,2,Flying,,Status,"Burst 1, Friendly","All legal targets have their Attack lowered 2Combat Stages."
Mirror Move,Scene x2,/,Flying,,Status,"6, 1 Target, Illusion","Use the Move the target has used on their lastturn. You may choose new targets for the Move. MirrorMove cannot miss."
Roost,Daily x2,/,Flying,,Status,"Self","The user regains Hit Points equal to half of itsfull Hit Points. If the user is a Flying Type, it loses theFlying Type until the start of their next turn."
Tailwind,Scene,/,Flying,,,"","For the remainder of the encounter, all alliedtrainers and pokémon gain +5 to their Initiative.Multiple instances of Tailwind cannot stack."
V Formation,EOT,/,Flying,,Status,"Self","Raise the user's Defense Combat Stage and raisethe user's Speed 1 Combat Stage."
Apparate,Scene x2,/,Normal,,Status,"Self, Swift Action","Apparate may be activated as a Swift Actionon the user's turn. For the rest of the turn, the user'sGhost Moves can hit andaffect normal-types.."
Astonish,At-Will,2,Ghost,1d6+5 ,Phys,"Melee, 1 Target","Astonish Flinches the target on 15+. Once perscene, if the target is unaware of the user's presence,Astonish automatically Flinches the target."
Astral Barrage,Daily,2,Ghost,3d12+10 ,Spec,"8, Ranged Blast 2, Smite, Friendly","Legal targets hit by Astral Barrage are Slowedfor one full round."
